Country,Tenor,Model_Type,Status,Train_RMSE,Train_R2,Test_RMSE,Test_R2,Is_Best_Model,Error
United States,yld_2yr,elasticnet,Success - Simple ELASTICNET Training,0.8438667944384479,0.8606446426384771,0.956460879353251,0.837111108836055,False,
United States,yld_2yr,mlp,Success - Simple MLP Training,0.7976970453189022,0.8754763505755053,1.0074589715952442,0.8192776848854764,False,
United States,yld_2yr,gbm,Success - Simple GBM Training,0.2164407564440142,0.9908324358116098,0.3887471769128686,0.9730913728906021,False,
United States,yld_2yr,gp,Success - Simple GP Training,0.5353165850657163,0.9439213860632303,0.6277550110016629,0.9298322710664161,True,
United States,yld_5yr,elasticnet,Success - Simple ELASTICNET Training,0.9209714785605189,0.8028869404226003,1.0956694644784775,0.7720559240855307,False,
United States,yld_5yr,mlp,Success - Simple MLP Training,0.923872581106775,0.8016431540910541,1.1474139146252051,0.7500176090632515,False,
United States,yld_5yr,gbm,Success - Simple GBM Training,0.2804840740628096,0.9817173371117698,0.4229555848518474,0.9660328803657258,True,
United States,yld_5yr,gp,Success - Simple GP Training,0.7022062707032405,0.8854084894680224,0.7970154584614432,0.8793846218816957,False,
United States,yld_10yr,elasticnet,Success - Simple ELASTICNET Training,0.9560854173461908,0.7469584474892907,1.1424691826083644,0.7147457687522114,False,
United States,yld_10yr,mlp,Success - Simple MLP Training,1.2896306159803932,0.5396065623244791,1.688169118094039,0.37716213149261535,False,
United States,yld_10yr,gbm,Success - Simple GBM Training,0.26545422652688205,0.9804935722206453,0.4328207727495847,0.9590589196000346,True,
United States,yld_10yr,gp,Success - Simple GP Training,0.7378302803080196,0.8493006412835311,0.8519380800513182,0.8413795532750454,False,
United States,yld_30yr,elasticnet,Success - Simple ELASTICNET Training,0.9774005454097934,0.6858093198511775,1.1448491029009749,0.6585910072905068,False,
United States,yld_30yr,mlp,Success - Simple MLP Training,1.1150890258888209,0.5910528105271275,1.5249961788382222,0.39421854935261635,False,
United States,yld_30yr,gbm,Success - Simple GBM Training,0.24292733316418502,0.9805911005815967,0.42420419627431605,0.9531263923498066,True,
United States,yld_30yr,gp,Success - Simple GP Training,0.7526872019192586,0.8136723924126231,0.8725327580844924,0.8016912204316964,False,
United Kingdom,yld_2yr,elasticnet,Success - Simple ELASTICNET Training,0.8233524908011496,0.902784678623811,0.8633426353890261,0.8898177567950418,False,
United Kingdom,yld_2yr,mlp,Success - Simple MLP Training,0.6398681460206714,0.9412856726116883,0.6932871437962577,0.9289487821769782,True,
United Kingdom,yld_2yr,gbm,Success - Simple GBM Training,0.22280721609997983,0.9928809570433789,0.36789832636956804,0.9799921300009357,False,
United Kingdom,yld_2yr,gp,Success - Simple GP Training,0.5116930566754713,0.9624524022365583,0.6255654089194755,0.9421516888097843,False,
United Kingdom,yld_5yr,elasticnet,Success - Simple ELASTICNET Training,0.8577382875780131,0.8831726261641193,0.9132745842622007,0.8589205859233812,False,
United Kingdom,yld_5yr,mlp,Success - Simple MLP Training,0.7887395274864752,0.9012124458039918,0.9461175462590287,0.848591206980885,False,
United Kingdom,yld_5yr,gbm,Success - Simple GBM Training,0.25592004769411825,0.9895997533904068,0.4091923488952422,0.9716785220513031,True,
United Kingdom,yld_5yr,gp,Success - Simple GP Training,0.6172821514588365,0.9394934402661778,0.7438440529948376,0.9064110242697446,False,
United Kingdom,yld_10yr,elasticnet,Success - Simple ELASTICNET Training,0.8324271932783874,0.8732541988538054,0.8689306419632369,0.8513099255113714,False,
United Kingdom,yld_10yr,mlp,Success - Simple MLP Training,0.6762985656912482,0.9163399739514433,0.7367183136297349,0.8931155108666062,False,
United Kingdom,yld_10yr,gbm,Success - Simple GBM Training,0.24407855731470765,0.989103166426134,0.37595471087127974,0.9721655389702571,True,
United Kingdom,yld_10yr,gp,Success - Simple GP Training,0.6022726311086898,0.9336520789882693,0.7054026744667479,0.9020090522815857,False,
United Kingdom,yld_30yr,elasticnet,Success - Simple ELASTICNET Training,0.8133584874938569,0.8203809589160966,0.9748304104083994,0.8048786269545332,False,
United Kingdom,yld_30yr,mlp,Success - Simple MLP Training,0.5957053691597329,0.9036500715314111,0.6931308269765519,0.9013545326199754,False,
United Kingdom,yld_30yr,gbm,Success - Simple GBM Training,0.1951668593028635,0.98965809570748,0.2980710855137597,0.9817574139206674,False,
United Kingdom,yld_30yr,gp,Success - Simple GP Training,0.5642349354704519,0.913561282823472,0.6010285745619007,0.925828519828194,True,
France,yld_2yr,elasticnet,Success - Simple ELASTICNET Training,1.419860337669852,0.7314241969752662,1.8536480020826303,0.6107026264261515,False,
France,yld_2yr,mlp,Success - Simple MLP Training,1.124399952039245,0.8315708471956803,1.553789038332662,0.726466170672746,False,
France,yld_2yr,gbm,Success - Simple GBM Training,0.30222502747196084,0.9878315159047182,0.6388393520255129,0.9537608055053255,True,
France,yld_2yr,gp,Success - Simple GP Training,1.30974872566497,0.7714655919806439,1.7564482463621,0.6504593780968164,False,
France,yld_5yr,elasticnet,Success - Simple ELASTICNET Training,1.2252637406699698,0.7839309197726994,1.4908849056601958,0.7226694883589893,False,
France,yld_5yr,mlp,Success - Simple MLP Training,0.9265226757791909,0.8764491989548348,1.33859703029797,0.7764322625681336,False,
France,yld_5yr,gbm,Success - Simple GBM Training,0.3124299993110463,0.9859512101618071,0.6013446362462421,0.9548813288188288,True,
France,yld_5yr,gp,Success - Simple GP Training,1.0811103866485305,0.8317815838288553,1.3223539606037573,0.781825063645317,False,
France,yld_10yr,elasticnet,Success - Simple ELASTICNET Training,1.1480285626132438,0.782796430750595,1.323168255428988,0.7550293305297766,False,
France,yld_10yr,mlp,Success - Simple MLP Training,0.9308261539636308,0.8572096934996258,1.1818452986026093,0.8045637113233852,False,
France,yld_10yr,gbm,Success - Simple GBM Training,0.3106302827467547,0.9840980949865401,0.4947868360109005,0.9657452962351595,True,
France,yld_10yr,gp,Success - Simple GP Training,0.9990937127681254,0.8354969240540469,1.1433774839450366,0.8170791485829174,False,
France,yld_30yr,elasticnet,Success - Simple ELASTICNET Training,1.142702160683084,0.739097736235726,1.193499343841409,0.768348445646789,False,
France,yld_30yr,mlp,Success - Simple MLP Training,0.9305233696352095,0.8269919466367424,1.1150793755938238,0.7977900993099072,False,
France,yld_30yr,gbm,Success - Simple GBM Training,0.303717672424842,0.9815688736589514,0.4152771800563936,0.9719542548663611,True,
France,yld_30yr,gp,Success - Simple GP Training,0.9869512734618351,0.8053729617865408,0.9813285204499924,0.8433899272153746,False,
Germany,yld_2yr,elasticnet,Success - Simple ELASTICNET Training,1.1500832356189825,0.802222501041629,1.402596228489139,0.7422392719509744,False,
Germany,yld_2yr,mlp,Success - Simple MLP Training,0.5992575217274945,0.9463035811403061,0.8207725938657964,0.9117332554045751,True,
Germany,yld_2yr,gbm,Success - Simple GBM Training,0.17413523410826923,0.9954658942715273,0.43028105323414745,0.9757419513761258,False,
Germany,yld_2yr,gp,Success - Simple GP Training,0.9552565485088069,0.8635547624132843,1.2588296630384157,0.7923722716652247,False,
Germany,yld_5yr,elasticnet,Success - Simple ELASTICNET Training,1.1314504033139818,0.8040890707390433,1.3092417807128554,0.7615597732937329,False,
Germany,yld_5yr,mlp,Success - Simple MLP Training,0.6975917477141801,0.9255284676303724,0.8822279063445598,0.8917316804516148,False,
Germany,yld_5yr,gbm,Success - Simple GBM Training,0.20825863799157404,0.9933626660532311,0.3588161685096566,0.9820904850980056,True,
Germany,yld_5yr,gp,Success - Simple GP Training,0.9385768317577758,0.8651883944986354,1.1450324430252594,0.8176207615648493,False,
Germany,yld_10yr,elasticnet,Success - Simple ELASTICNET Training,1.0897735238766237,0.8024792847453427,1.2153386807912574,0.7861104922981735,False,
Germany,yld_10yr,mlp,Success - Simple MLP Training,0.6558572294589906,0.9284583808811561,0.775238468431766,0.9129707041503679,False,
Germany,yld_10yr,gbm,Success - Simple GBM Training,0.20914782159994413,0.9927247681923704,0.30594882866348583,0.9864452213617517,True,
Germany,yld_10yr,gp,Success - Simple GP Training,0.8799578192979064,0.8712154234945252,1.0006973777060388,0.8549891950280423,False,
Germany,yld_30yr,elasticnet,Success - Simple ELASTICNET Training,0.9138539133898689,0.8241270720724296,0.8552078726596049,0.8169642279804183,False,
Germany,yld_30yr,mlp,Success - Simple MLP Training,0.6292469916285239,0.9166150375215677,0.625156389292979,0.902192998813119,False,
Germany,yld_30yr,gbm,Success - Simple GBM Training,0.18127661029410483,0.9930796352512132,0.26976656772977814,0.9817875300634746,True,
Germany,yld_30yr,gp,Success - Simple GP Training,0.6982425914666541,0.8973265595946234,0.7463008678148662,0.8606135721261665,False,
Italy,yld_2yr,elasticnet,Success - Simple ELASTICNET Training,0.9090592544287404,0.6998208179584675,0.8348663965244774,0.7515100995690704,False,
Italy,yld_2yr,mlp,Success - Simple MLP Training,0.6393968911676379,0.8514963166030448,0.5270892054057893,0.9009526126532436,True,
Italy,yld_2yr,gbm,Success - Simple GBM Training,0.18433572235435544,0.9876571572687451,0.38702914570435004,0.9465974343340008,False,
Italy,yld_2yr,gp,Success - Simple GP Training,0.7492048420147441,0.7961093379393742,0.6064009218027021,0.8689024771190408,False,
Italy,yld_5yr,elasticnet,Success - Simple ELASTICNET Training,0.9542721202081358,0.6391037228460925,0.8603219184379599,0.6976933011448687,False,
Italy,yld_5yr,mlp,Success - Simple MLP Training,0.7587740364374482,0.771827734590286,0.659403411945609,0.8224060463686401,True,
Italy,yld_5yr,gbm,Success - Simple GBM Training,0.2053376311282463,0.9832900548036448,0.42931500068865314,0.9247202925677893,False,
Italy,yld_5yr,gp,Success - Simple GP Training,0.7933254229014145,0.7505746017154902,0.6618976549235028,0.8210599804152443,False,
Italy,yld_10yr,elasticnet,Success - Simple ELASTICNET Training,0.9675896137666896,0.5549089061158394,0.8938079475116149,0.601979392125497,False,
Italy,yld_10yr,mlp,Success - Simple MLP Training,0.7615721318133533,0.7242670955654138,0.6387670860766499,0.7967164694543085,True,
