,decision_date_th,curr_change_th,category_th
125,2016-03-23,0.43282647075573166,depreciation
126,2016-05-11,0.453643322937336,depreciation
127,2016-06-22,0.28093076049942045,depreciation
128,2016-08-03,-0.3377218088150946,appreciation
129,2016-09-14,0.022925920618988016,hold
130,2016-11-09,1.1138153185397348,depreciation
131,2016-12-21,-0.02777854940416713,hold
132,2017-02-08,0.06562054208274493,hold
133,2017-03-29,-0.21197514373657578,hold
134,2017-05-24,-0.9539043187436258,appreciation
135,2017-07-05,0.15279287750125103,hold
136,2017-08-16,-0.21027335536196734,hold
137,2017-09-27,0.12015620306398134,hold
138,2017-11-08,-0.006038647342976322,hold
139,2017-12-20,0.05805426546077186,hold
140,2018-02-14,-0.768375932687726,appreciation
141,2018-03-28,-0.20478689363880864,hold
142,2018-05-16,0.18048856387116174,hold
143,2018-06-20,0.4178995210932568,depreciation
144,2018-08-08,0.15959048479372573,hold
145,2018-09-19,-0.20956607495068447,hold
146,2018-11-14,-0.04546143355054211,hold
147,2018-12-19,-0.1162079510703462,hold
148,2019-02-06,0.8006405124099336,depreciation
149,2019-03-20,-0.204756654591276,hold
150,2019-05-08,-0.6540880503144719,appreciation
151,2019-06-26,-0.22771633051398288,hold
152,2019-08-07,-0.266147354754942,appreciation
153,2019-09-25,0.3208696221596474,depreciation
154,2019-11-06,0.26402640264024946,depreciation
155,2019-12-18,-0.13897161008536996,hold
156,2020-03-20,0.0,hold
157,2020-03-25,-0.6187138067662357,appreciation
158,2020-05-20,0.23566378633150808,hold
159,2020-06-24,0.2691309987029822,depreciation
160,2020-08-05,0.5097596386513858,depreciation
161,2020-09-23,0.374936451448904,depreciation
162,2020-11-18,0.05939613925094456,hold
163,2020-02-05,1.1570782159017412,depreciation
164,2020-12-23,-0.4401058901389754,appreciation
165,2021-02-03,0.13983685700016402,hold
166,2021-03-24,0.22584287788351975,hold
167,2021-05-05,0.23148892389801556,hold
168,2021-06-23,-0.29185626863329484,appreciation
169,2021-08-04,0.679101774719304,depreciation
170,2021-09-29,-0.6733608978145345,appreciation
171,2021-11-10,0.17095582623563033,hold
172,2021-12-22,-0.9329187027987462,appreciation
173,2022-02-09,-0.10691919963340402,hold
174,2022-03-30,0.49552525677216686,depreciation
175,2022-06-08,0.6952491309385689,depreciation
176,2022-08-10,-1.0544074230282585,appreciation
177,2022-09-28,-1.667969768047961,appreciation
178,2022-11-30,-1.40385706182643,appreciation
179,2023-01-25,0.17371163867978545,hold
180,2023-03-29,0.184561300717756,hold
181,2023-05-31,-0.7471264367816088,appreciation
182,2023-08-02,1.523420399824893,depreciation
183,2023-09-27,-0.32302217355598684,appreciation
184,2023-11-29,0.6175853847700363,depreciation
185,2024-02-07,0.9188490502416435,depreciation
186,2024-04-10,0.6516717993840571,depreciation
187,2024-06-12,0.21807278179091227,hold
188,2024-08-21,-0.19806017534149678,hold
189,2024-10-16,-0.10844026748599855,hold
190,2024-12-18,0.6364591848651013,depreciation
