,decision_date_il,curr_change_il,category_il
128,2005-05-23,0.2558947176019011,hold
129,2005-06-27,0.5548460962613966,depreciation
130,2005-07-25,0.3421255932016365,hold
131,2005-08-29,-0.4549150605454577,appreciation
132,2005-09-26,0.10489510489510856,hold
133,2005-10-24,-0.22213595583160384,hold
134,2005-11-28,-0.2741603838245399,hold
135,2005-12-26,-0.1630434782608603,hold
136,2006-01-23,-0.21682567215958182,hold
137,2006-02-20,0.4358456468587235,depreciation
138,2006-03-27,0.4276428327061099,depreciation
139,2006-04-24,-0.07715198941915524,hold
140,2006-05-29,0.06637168141592209,hold
141,2006-06-26,-0.06696428571428825,hold
142,2006-07-24,-0.4380053908355719,appreciation
143,2006-08-28,-0.7539457249914783,appreciation
144,2006-09-25,-0.46505171097384057,appreciation
145,2006-10-23,0.1400560224089631,hold
146,2006-11-27,-0.7741845488573373,appreciation
147,2006-12-25,0.5474886931682965,depreciation
148,2007-01-29,0.2280582136223508,hold
149,2007-02-26,0.2858504049547239,hold
150,2007-03-26,-0.6425511661113825,appreciation
151,2007-04-22,-0.14713094654242864,hold
152,2007-05-28,0.9207415702376487,depreciation
153,2007-06-25,0.9582783951779916,depreciation
154,2007-07-23,-0.511454699726599,appreciation
155,2007-08-27,-0.6168377427593796,appreciation
156,2007-09-24,-0.21050024764736053,hold
157,2007-10-29,-0.4699555175793457,appreciation
158,2007-11-26,-0.06720256403629499,hold
159,2007-12-24,0.6740763610167733,depreciation
160,2008-01-28,-1.0194951329953073,appreciation
161,2008-02-25,0.9806386723661076,depreciation
162,2008-03-24,-0.5904394231861176,appreciation
163,2008-04-28,-0.639621989166772,appreciation
164,2008-05-26,-0.3392705682782049,hold
165,2008-06-23,0.3851851851851773,depreciation
166,2008-07-28,-0.4889975550122383,appreciation
167,2008-08-25,2.0827389443651922,depreciation
168,2008-09-22,0.9037918040508908,depreciation
169,2008-10-07,2.066817667044174,depreciation
170,2008-10-27,-1.4181989134977036,appreciation
171,2008-11-11,0.28350515463917425,hold
172,2008-11-24,-2.604428787116264,appreciation
173,2008-12-29,-2.0595854922279777,appreciation
174,2009-01-26,0.6294058408861991,depreciation
175,2009-02-23,1.0943450802680443,depreciation
176,2009-03-23,3.068623326486697,depreciation
177,2009-04-27,-1.042819142675544,appreciation
178,2009-05-25,-0.13629480060576293,hold
179,2009-06-22,-0.7458563535911567,appreciation
180,2009-07-27,0.2995664170279966,hold
181,2009-08-24,0.2083388275007092,hold
182,2009-09-24,0.19142317815648013,hold
183,2009-10-26,1.99832798468218,depreciation
184,2009-11-23,-0.40025446641573925,appreciation
185,2009-12-28,0.36178303580860494,depreciation
186,2010-01-25,0.5027827817062347,depreciation
187,2010-02-22,0.25222354971456973,hold
188,2010-03-28,-0.6824568446407109,appreciation
189,2010-04-26,0.6042214941726076,depreciation
190,2010-05-24,0.9459176186982665,depreciation
191,2010-06-28,0.16231674954267916,hold
192,2010-07-26,-0.13089005235601414,hold
193,2010-08-23,0.02099076406381073,hold
194,2010-09-27,-0.9284722411305069,appreciation
195,2010-10-25,1.1325875055383072,depreciation
196,2010-11-22,0.6440780600588836,depreciation
197,2010-12-27,-0.16211079434288456,hold
198,2011-01-24,0.041568518775125796,hold
199,2011-02-21,1.2889812889812946,depreciation
200,2011-03-28,-0.6101021566401799,appreciation
201,2011-04-24,0.4552797767660488,depreciation
202,2011-05-23,-0.15723270440252124,hold
203,2011-06-27,-0.4038467125715428,appreciation
204,2011-07-25,0.35314891112419033,depreciation
205,2011-08-29,-0.30777839955231645,hold
206,2011-09-26,-0.3617363344051494,appreciation
207,2011-10-24,0.15095375325921978,hold
208,2011-11-28,-0.6345848757271288,appreciation
209,2011-12-26,0.8684140852528444,depreciation
210,2012-01-23,-0.4443856632720511,appreciation
211,2012-02-27,-0.3269007697985882,hold
212,2012-03-26,0.40967037705845755,depreciation
213,2012-04-23,-0.21281689766167178,hold
214,2012-05-28,0.19642810989635162,hold
215,2012-06-08,0.0,hold
216,2012-06-25,0.5303010988450652,depreciation
217,2012-07-23,0.7577070694564814,depreciation
218,2012-08-27,0.4483746419230217,depreciation
219,2012-09-24,0.14336917562722817,hold
220,2012-10-29,-0.6751918158567793,appreciation
221,2012-11-26,-0.1454281039810934,hold
222,2012-12-24,-0.24033326212348216,hold
223,2013-01-28,0.12619143509196018,hold
224,2013-02-25,-0.5201072386059047,appreciation
225,2013-03-24,-0.7934119449536259,appreciation
226,2013-05-13,1.1924194217734163,depreciation
227,2013-05-27,-0.5732741219216853,appreciation
228,2013-06-24,0.4111819411099171,depreciation
229,2013-07-29,-0.2853785462481051,hold
230,2013-08-26,1.2247838616714635,depreciation
231,2013-09-23,0.6256723854821455,depreciation
232,2013-10-28,-0.08801317358470007,hold
233,2013-11-25,-0.07614857432947097,hold
234,2013-12-23,-0.07158196134573469,hold
235,2014-01-27,-0.25180267826484526,hold
236,2014-02-24,0.01705223668504452,hold
237,2014-03-24,0.5988713578256366,depreciation
238,2014-04-28,-0.48311957209409284,appreciation
239,2014-05-26,0.11214308307214704,hold
240,2014-06-23,-0.33715049700633326,hold
241,2014-07-28,0.07293946024800047,hold
242,2014-08-25,-0.21005461419968396,hold
243,2014-09-22,0.10914051841746097,hold
244,2014-10-27,0.0797236247674693,hold
245,2014-11-24,0.3887017362010914,depreciation
246,2014-12-29,-0.33239580669904845,hold
247,2015-01-26,-1.2289942312515678,appreciation
248,2015-02-23,0.8431272355646335,depreciation
249,2015-03-23,-0.25284450063212116,hold
250,2015-04-27,-0.7956878850102544,appreciation
251,2015-05-25,0.015479077446989287,hold
252,2015-06-22,-0.7472574063278392,appreciation
253,2015-07-27,0.2544461819820265,hold
254,2015-08-24,2.3811384655464396,depreciation
255,2015-09-24,0.3774451046900218,depreciation
256,2015-10-26,0.5654531371030114,depreciation
257,2015-11-23,0.020634511220030127,hold
258,2015-12-28,0.5797474877609066,depreciation
259,2016-01-25,0.07808564231737147,hold
260,2016-02-22,0.19959058341862956,hold
261,2016-03-28,-1.1186910269479045,appreciation
262,2016-04-21,0.007952497084073862,hold
263,2016-05-23,-0.5175983436852993,appreciation
264,2016-06-27,-0.8541291484435276,appreciation
265,2016-07-25,-0.31201248049922414,hold
266,2016-08-29,-0.1267661428760114,hold
267,2016-09-26,0.08525830602403861,hold
268,2016-10-27,0.06226488519911477,hold
269,2016-11-28,-0.3196798003950452,hold
270,2016-12-26,0.789026779882418,depreciation
271,2017-01-23,-0.1767436952622159,hold
272,2017-02-27,-0.1498637602179831,hold
273,2017-04-06,0.13442335125644078,hold
274,2017-05-29,-0.6622702399326497,appreciation
275,2017-07-10,-0.27036160865158143,hold
276,2017-08-29,0.3050401589566931,hold
277,2017-10-19,0.10322284665673642,hold
278,2017-11-27,0.06282842129312627,hold
279,2018-01-10,-0.9428729894619958,appreciation
280,2018-02-26,-0.17800235422468225,hold
281,2018-04-16,-0.36286321757618145,appreciation
282,2018-05-28,-0.06435006435006052,hold
283,2018-07-09,0.5206037902159677,depreciation
284,2018-08-29,-0.33242838938445374,hold
285,2018-10-08,-0.28013512400097973,hold
286,2018-11-26,0.06722960253859878,hold
287,2019-01-07,-1.1595609848178423,appreciation
288,2019-02-25,0.22727902658055132,hold
289,2019-04-08,-0.2063120330099255,hold
290,2019-05-20,0.848877471238696,depreciation
291,2019-07-08,-0.5154494775471363,appreciation
292,2019-08-28,0.15315673038742705,hold
293,2019-10-07,-0.2109885096798103,hold
294,2019-11-25,-0.05479136026760312,hold
295,2020-01-09,0.17042664432826982,hold
296,2020-02-24,0.1429613420860676,hold
297,2020-04-06,0.019496977968413987,hold
298,2020-05-25,-0.8191377795413901,appreciation
299,2020-07-06,-0.19104408486988467,hold
300,2020-08-24,-0.14096502305365188,hold
301,2020-10-22,-0.18043600437779306,hold
302,2020-11-30,-0.7136161591726919,appreciation
303,2021-01-04,-1.039915312285955,appreciation
304,2021-02-22,-0.13163130988459448,hold
305,2021-04-19,0.20252853811220106,hold
306,2021-05-31,-0.03386908060840632,hold
307,2021-07-05,0.3403759467664358,hold
308,2021-08-23,0.009307520476542486,hold
309,2021-10-07,0.11774548384098082,hold
310,2021-11-22,1.6984245090744476,depreciation
311,2022-01-03,0.1446898813542985,hold
312,2022-02-21,0.540590921800721,depreciation
313,2022-04-11,-0.32014422030894885,hold
314,2022-05-23,0.1468032835999722,hold
315,2022-07-04,-0.6529052859668094,appreciation
316,2022-08-22,-0.7255396011049964,appreciation
317,2022-10-03,-0.3925555649693546,appreciation
318,2022-11-21,-1.330951832219407,appreciation
319,2023-01-02,0.7075808154298313,depreciation
320,2023-02-20,1.2356032651235527,depreciation
321,2023-04-03,0.027890890835058357,hold
322,2023-05-22,1.719942030570687,depreciation
323,2023-07-10,-1.6786959695077486,appreciation
324,2023-09-04,1.2038650403928486,depreciation
325,2023-10-23,0.11574074074074403,hold
326,2023-11-27,-0.5184565117597795,appreciation
327,2024-01-01,1.0261219761123153,depreciation
328,2024-02-26,-1.1954490491370762,appreciation
329,2024-04-08,1.6152160385271008,depreciation
330,2024-05-27,0.7448080895944287,depreciation
331,2024-07-08,-0.8162490508731968,appreciation
332,2024-08-28,-0.7826988109523203,appreciation
333,2024-10-09,-0.03185558800106181,hold
334,2024-11-25,0.24964336661912334,hold
335,2025-01-06,0.6855915636443832,depreciation
