,decision_date_br,curr_change_br,category_br
125,2008-10-29,1.1952191235059528,depreciation
126,2008-12-10,-2.1417477315458178,appreciation
127,2009-01-21,-0.3251615111453443,hold
128,2009-03-11,-1.4955986667806065,appreciation
129,2009-04-29,-0.2569278766746286,hold
130,2009-06-10,-1.098901098901106,appreciation
131,2009-07-22,-0.4202122071646164,hold
132,2009-09-02,-2.237065309584396,appreciation
133,2009-10-21,-0.991640242144709,appreciation
134,2009-12-09,-0.20996481670638723,hold
135,2010-01-27,1.991388589881593,depreciation
136,2010-03-17,1.9637804187889074,depreciation
137,2010-04-28,-0.5204460966542701,hold
138,2010-06-09,-2.129614615426201,appreciation
139,2010-07-21,-0.39308176100628645,hold
140,2010-09-01,-0.7560137457044758,appreciation
141,2010-10-20,2.1262617213163804,depreciation
142,2010-12-08,0.9962860343099678,depreciation
143,2011-01-19,-0.2868754482428848,hold
144,2011-03-02,-0.9641458270563397,appreciation
145,2011-04-20,0.0,hold
146,2011-06-08,0.8653906891541885,depreciation
147,2011-07-20,-0.8813386128496692,appreciation
148,2011-08-31,3.2272269753397254,depreciation
149,2011-10-19,0.06762468300929303,hold
150,2011-11-30,-0.9842410837710869,appreciation
151,2012-01-18,-0.6677985285794996,appreciation
152,2012-03-07,1.4325349640450735,depreciation
153,2012-04-18,-0.3193867773874204,hold
154,2012-05-30,1.1954365079364981,depreciation
155,2012-07-11,0.014729709824701231,hold
156,2012-08-29,-0.9950734110531156,appreciation
157,2012-10-10,-0.22520317242731291,hold
158,2012-11-28,2.0106022255121925,depreciation
159,2013-01-16,-0.04406796259119883,hold
160,2013-03-06,-1.3398974775414851,appreciation
161,2013-04-17,0.5248425472358376,hold
162,2013-05-29,1.3314380478559373,depreciation
163,2013-07-10,0.12806359019650326,hold
164,2013-08-28,1.6880514940960767,depreciation
165,2013-10-09,-1.4093442697240222,appreciation
166,2013-11-27,0.2402917828792317,hold
167,2014-01-15,-0.7246683900495876,appreciation
168,2014-02-26,-0.22989484439523977,hold
169,2014-04-02,-1.4545133991537562,appreciation
170,2014-05-28,0.39417693169092605,hold
171,2014-07-16,0.14390430363808715,hold
172,2014-09-03,0.36689038031318955,hold
173,2014-10-29,0.6458164094232277,hold
174,2014-12-03,1.3393906164330005,depreciation
175,2015-01-21,-0.8112264513648659,appreciation
176,2015-03-04,2.884195682100521,depreciation
177,2015-04-29,1.8103215347203605,depreciation
178,2015-06-03,0.28084508840238165,hold
179,2015-07-29,2.6925616857777612,depreciation
180,2015-09-02,2.1829881145470464,depreciation
181,2015-10-21,-1.5939490850021665,appreciation
182,2015-11-25,2.7156208277703486,depreciation
183,2016-01-20,-0.10006101281269109,hold
184,2016-03-02,-3.6692771857748108,appreciation
185,2016-04-27,-2.6083751523914844,appreciation
186,2016-06-08,2.130254976049506,depreciation
187,2016-07-20,-0.11044977603239525,hold
188,2016-08-31,0.9484548864023612,depreciation
189,2016-10-19,-0.38187212017926075,hold
190,2016-11-30,2.6907286528635055,depreciation
191,2017-01-11,0.6599731006224463,hold
192,2017-02-22,1.4418528788125995,depreciation
193,2017-04-12,0.6589680432487643,hold
194,2017-05-31,0.5764581912849565,hold
195,2017-07-26,-0.18801784576163438,hold
196,2017-09-06,-0.4129032258064491,hold
197,2017-10-25,0.027823291186179766,hold
198,2017-12-06,1.8144725047139154,depreciation
