,decision_date_cz,curr_change_cz,category_cz
126,2007-10-25,-1.2437152685895736,appreciation
127,2007-11-29,0.6020479730677541,depreciation
128,2007-12-19,0.8710210423801934,depreciation
129,2008-02-07,0.09954277808708056,hold
130,2008-03-26,-0.15939628656463922,hold
131,2008-05-07,-0.9796718099436719,appreciation
132,2008-06-26,-1.1275758428989424,appreciation
133,2008-08-07,2.8257357366870517,depreciation
134,2008-09-25,-0.10767160161507805,hold
135,2008-11-06,0.6752514967309331,depreciation
136,2008-12-17,3.744503006296318,depreciation
137,2009-02-05,-1.0731975784259662,appreciation
138,2009-03-26,2.8128708033782424,depreciation
139,2009-05-07,-1.7169857695336521,appreciation
140,2009-06-25,-0.3764135702746363,hold
141,2009-08-06,0.7499654074996531,depreciation
142,2009-09-24,-0.3257139533531128,hold
143,2009-11-05,-0.21354361527613497,hold
144,2009-12-16,1.6366748085007377,depreciation
145,2010-02-04,-0.022454308093977637,hold
146,2010-03-25,-0.7104814322635988,appreciation
147,2010-05-06,-3.089184243474896,appreciation
148,2010-06-23,-0.38525963149078635,hold
149,2010-08-05,-0.11734272075099028,hold
150,2010-09-23,-1.1424549244680393,appreciation
151,2010-11-04,1.385437843535886,depreciation
152,2010-12-22,-0.1854144115681966,hold
153,2011-02-03,0.4488814896047133,depreciation
154,2011-03-24,0.46325177329544776,depreciation
155,2011-05-05,1.433465560764513,depreciation
156,2011-06-23,0.7678161458089194,depreciation
157,2011-08-04,-1.7895469574801481,appreciation
158,2011-09-21,-0.5400549854370218,appreciation
159,2011-11-03,0.3068708040679713,hold
160,2011-12-21,0.6572908805352107,depreciation
161,2012-02-02,-0.6356342980511798,appreciation
162,2012-03-29,-0.04731767906784867,hold
163,2012-05-03,0.9700435444100375,depreciation
164,2012-06-28,-2.6864532828526744,appreciation
165,2012-08-02,-1.98215101873902,appreciation
166,2012-09-27,0.5840670622198507,depreciation
167,2012-11-01,1.0812337879138045,depreciation
168,2012-12-19,0.14081916822110685,hold
169,2013-02-06,0.6782914733642453,depreciation
170,2013-03-28,-0.1715521742373327,hold
171,2013-05-02,-0.16071018596465203,hold
172,2013-06-27,-0.10243546565662509,hold
173,2013-08-01,-1.1419688803320338,appreciation
174,2013-09-26,0.13320206173625948,hold
175,2013-11-07,0.371602966854212,hold
176,2013-12-17,0.6514657980456029,depreciation
177,2014-02-06,-0.2775075672659555,hold
178,2014-03-27,0.03059346302956012,hold
179,2014-05-07,0.9346220942026084,depreciation
180,2014-06-26,-0.29840536534828654,hold
181,2014-07-31,-0.2733972389298289,hold
