,decision_date_za,curr_change_za,category_za
126,2009-02-05,-2.6708434617223276,appreciation
127,2009-03-24,-1.5736917502317316,appreciation
128,2009-04-30,0.2708914792316497,hold
129,2009-05-28,-1.0766355140186978,appreciation
130,2009-06-25,-1.550474622360265,appreciation
131,2009-08-13,1.0306058713304145,depreciation
132,2009-09-22,1.317465911247262,depreciation
133,2009-10-22,0.888221933809219,depreciation
134,2009-11-17,1.245331685429485,depreciation
135,2010-01-26,0.24014355834696133,hold
136,2010-03-25,-0.6789900691019368,appreciation
137,2010-05-13,0.7352843054832858,depreciation
138,2010-07-22,-0.02689437235258163,hold
139,2010-09-09,-0.49398090493981694,appreciation
140,2010-11-11,0.38916114153935144,hold
141,2011-01-20,-0.3487961590058597,hold
142,2011-03-24,-0.2897073809870365,hold
143,2011-05-12,1.7788022441612705,depreciation
144,2011-07-21,-0.00147621086196148,hold
145,2011-09-22,-4.139119758216847,appreciation
146,2011-11-10,-0.5264147396127128,appreciation
147,2012-01-19,0.22561982429383232,hold
148,2012-03-29,-0.6049457880487497,appreciation
149,2012-05-24,0.5670941807044416,depreciation
150,2012-07-19,1.4470043826359413,depreciation
151,2012-09-20,-0.34790355006079077,hold
152,2012-11-22,-0.7746219107340524,appreciation
153,2013-01-24,-1.1296812132466694,appreciation
154,2013-03-20,-0.3279356131645761,hold
155,2013-05-23,0.5006034527994974,depreciation
156,2013-07-18,-0.5789600869950395,appreciation
157,2013-09-19,1.8835069498109203,depreciation
158,2013-11-21,-0.5785882840809276,appreciation
159,2014-01-29,-1.740651728281628,appreciation
160,2014-03-27,-0.0680291391479404,hold
161,2014-05-22,-0.2720917171795456,hold
162,2014-07-17,-1.0547248887195604,appreciation
163,2014-09-18,0.023471635431349114,hold
164,2014-11-20,-0.15962347103518626,hold
165,2015-01-29,0.8074915832201102,depreciation
166,2015-03-26,0.3842403127265914,hold
167,2015-05-21,0.5691524449029872,depreciation
168,2015-07-23,1.7460164482138163,depreciation
169,2015-09-23,0.38378300389554365,hold
170,2015-11-19,-0.48399743388695127,appreciation
171,2016-01-28,-1.895936485201699,appreciation
172,2016-03-17,0.6222767153809095,depreciation
173,2016-05-19,-1.1264309657833205,appreciation
174,2016-07-21,0.43215819097879304,hold
175,2016-09-22,0.5165932688996122,depreciation
176,2016-11-24,-0.2784570370475081,hold
177,2017-01-24,-0.18678321939555875,hold
178,2017-03-30,0.9778901962555597,depreciation
179,2017-05-25,-0.37739642865428635,hold
180,2017-07-20,-0.8960972204107631,appreciation
