,decision_date_tr,curr_change_tr,category_tr
124,2016-02-23,-0.5435336481299013,appreciation
125,2016-03-24,0.1079124168900325,hold
126,2016-04-20,1.2726626377532968,depreciation
127,2016-05-24,-0.3971217161088947,appreciation
128,2016-06-21,-1.938210935083684,appreciation
129,2016-07-19,0.890773427998548,depreciation
130,2016-08-23,-0.6196877857167049,appreciation
131,2016-09-22,0.8971962616822537,depreciation
132,2016-10-20,0.6862745098039191,hold
133,2016-11-24,0.14798479528770336,hold
134,2016-12-20,-0.41981051795539903,appreciation
135,2017-01-24,1.760367932757112,depreciation
136,2017-03-16,0.3089399497972378,hold
137,2017-04-26,-0.7433697565883302,appreciation
138,2017-06-15,-0.3017278187355976,hold
139,2017-07-27,-0.2544817055929349,hold
140,2017-09-14,0.12232415902140303,hold
141,2017-10-26,-0.8454169502172482,appreciation
142,2017-12-14,-0.6380241831746791,appreciation
143,2018-01-18,1.0190812345744593,depreciation
144,2018-03-07,0.2867213804713886,hold
145,2018-04-25,-0.9555076440611487,appreciation
146,2018-05-23,3.0484473678459745,depreciation
147,2018-06-07,-0.24530574015432238,hold
148,2018-07-24,-0.41758781626136665,appreciation
149,2018-09-13,1.4287828217227627,depreciation
150,2018-10-25,-0.7329322614420763,appreciation
151,2018-12-13,0.41197730379580744,hold
152,2019-01-16,-0.1836099973769878,hold
153,2019-03-06,0.21371064315849342,hold
154,2019-04-25,0.1686909581646301,hold
155,2019-06-12,1.4891712288675363,depreciation
156,2019-07-25,-0.4951364258875546,appreciation
157,2019-09-12,0.5196274236023868,hold
158,2019-10-24,0.16133229247983216,hold
159,2019-12-12,0.253824636530009,hold
160,2020-01-16,0.45567027903403723,hold
161,2020-02-19,0.19890846922672178,hold
162,2020-03-17,2.282177134460883,depreciation
163,2020-04-22,-0.1346299823835273,hold
164,2020-05-21,0.2811014467158257,hold
165,2020-06-25,0.07001983895438268,hold
166,2020-07-23,0.03360558729417207,hold
167,2020-08-20,0.24937997561009784,hold
168,2020-09-24,0.539171957810769,hold
169,2020-10-22,0.3339634530560964,hold
170,2020-11-19,1.1253657438667464,depreciation
171,2020-12-24,-0.4350175984392024,appreciation
172,2021-01-21,0.6240672907339428,hold
173,2021-02-18,-0.21632308066987793,hold
174,2021-03-18,-1.4216261983448608,appreciation
175,2021-04-15,0.5961735139315083,hold
176,2021-05-06,-0.49745837408387006,appreciation
177,2021-06-17,0.1628253640637567,hold
178,2021-07-14,-0.734506681566327,appreciation
179,2021-08-12,-0.4636009061821267,appreciation
180,2021-09-23,1.3770050425536917,depreciation
181,2021-10-21,0.9540119986971574,depreciation
182,2021-11-18,2.0328105933926865,depreciation
183,2021-12-16,4.754487654163375,depreciation
184,2022-01-20,0.7541150568394439,depreciation
185,2022-02-17,0.5662405749293109,hold
186,2022-03-17,0.7361996584360098,depreciation
187,2022-04-14,0.19850233411364826,hold
188,2022-05-26,-0.768877878704477,appreciation
189,2022-06-23,-2.4573252959279035,appreciation
190,2022-07-21,0.18533167589556143,hold
