,decision_date_tw,curr_change_tw,category_tw
130,2020-06-18,-0.02025795124586116,hold
131,2020-09-17,-0.4688248579837073,appreciation
132,2020-12-17,0.017667844522972764,hold
133,2021-03-18,0.48031078933428173,depreciation
134,2021-06-17,0.10806527142395161,hold
135,2021-09-23,-0.15126958400865087,appreciation
136,2021-12-16,-0.1581880280424275,appreciation
137,2022-03-17,-0.3059071729957785,appreciation
138,2022-06-16,-0.040355125100888234,hold
139,2022-09-22,0.1549456109284142,depreciation
140,2022-12-12,-0.4298414145690099,appreciation
141,2023-03-23,-0.06586964397456985,hold
142,2023-06-15,-0.04558181936575867,hold
143,2023-09-21,0.04358926458682966,hold
144,2023-12-14,-0.2203135476867013,appreciation
145,2024-03-21,0.3925879396984966,depreciation
146,2024-06-13,0.030926240915407632,hold
147,2024-09-19,0.11583857737704761,hold
148,2024-12-19,0.06732152146637915,hold
