,decision_date_pe,curr_change_pe,category_pe
131,2013-01-10,-0.23524799059007062,appreciation
132,2013-02-07,0.03878223773510214,hold
133,2013-03-07,-0.26886883042058773,appreciation
134,2013-04-11,0.1936108422071703,depreciation
135,2013-05-09,0.0,hold
136,2013-06-13,-0.347603366264182,appreciation
137,2013-07-11,0.036088054853844476,hold
138,2013-08-08,0.21509231044991584,depreciation
139,2013-09-12,0.0360620266858902,hold
140,2013-10-10,-0.16239624684228904,hold
141,2013-11-07,0.21470746108427363,depreciation
142,2013-12-12,-0.32403240324031524,appreciation
143,2014-01-09,-0.16051364365972098,hold
144,2014-02-13,-0.3195455352387633,appreciation
145,2014-03-13,0.035669698591034305,hold
146,2014-04-10,0.05393743257822159,hold
147,2014-05-08,0.2336448598130758,depreciation
148,2014-06-12,-0.17162471395881784,hold
149,2014-07-10,0.2517532817838619,depreciation
150,2014-08-07,-0.6859783188199686,appreciation
151,2014-09-11,0.1399825021872303,hold
152,2014-10-09,-0.037859232490111694,hold
153,2014-11-13,-0.01704739174904768,hold
154,2014-12-11,-0.22901020442529507,appreciation
155,2015-01-15,0.3829758891701118,depreciation
156,2015-02-12,0.40729879439558303,depreciation
157,2015-03-12,-0.0645369474023938,hold
158,2015-04-09,0.09626183218354178,hold
159,2015-05-14,-0.0952834683182413,hold
160,2015-06-11,0.06342159505310363,hold
161,2015-07-09,-0.1414649481295216,hold
162,2015-08-13,0.10809141445335957,hold
163,2015-09-10,-0.21769553724149127,appreciation
164,2015-10-16,0.0,hold
165,2015-11-12,0.38209278536616154,depreciation
166,2015-12-10,0.13333333333334085,hold
167,2016-01-14,0.20452885317749914,depreciation
168,2016-02-11,-0.24182076813655806,appreciation
169,2016-03-10,-1.9404727166618008,appreciation
170,2016-04-14,0.04581551618814128,hold
171,2016-05-12,0.300616263339859,depreciation
172,2016-06-09,0.7254042617500289,depreciation
173,2016-07-14,-0.030497102775228768,hold
174,2016-08-11,0.2419110976715988,depreciation
