,decision_date_cl,curr_change_cl,category_cl
129,2007-10-02,-0.26591553734636175,hold
130,2007-11-07,0.5943743166683335,depreciation
131,2007-12-13,-0.2839205022593605,hold
132,2008-01-10,-1.3824503311258285,appreciation
133,2008-02-23,0.3115800330919516,hold
134,2008-03-30,-0.1136363636363602,hold
135,2008-05-05,0.5319376201666115,depreciation
136,2008-06-10,3.047108545510757,depreciation
137,2008-07-10,0.3798784388995502,hold
138,2008-08-14,0.0,hold
139,2008-09-04,1.7258765125659492,depreciation
140,2008-09-23,-0.10620260475863175,hold
141,2008-10-29,0.3756135520172288,hold
142,2008-12-04,0.33295011720442247,hold
143,2009-01-09,0.0,hold
144,2009-02-12,-2.389873417721511,appreciation
145,2009-03-12,-0.5274173294265383,appreciation
146,2009-04-09,0.45859652158863895,depreciation
147,2009-05-07,-0.08848774444739638,hold
148,2009-06-16,-3.129276197335251,appreciation
149,2009-07-09,0.320014629240184,hold
150,2009-08-31,0.8164002528673331,depreciation
151,2009-10-06,-0.5145797598627877,appreciation
152,2009-11-11,-0.9861932938856066,appreciation
153,2009-12-17,0.699230846069332,depreciation
154,2010-01-22,0.0,hold
155,2010-02-27,0.028595939376629964,hold
156,2010-04-04,-0.31046377922575585,hold
157,2010-05-10,0.028293879090823815,hold
158,2010-06-15,-0.835435940566287,appreciation
159,2010-07-15,-0.5254762128178769,appreciation
160,2010-08-12,-0.023540951446787695,hold
161,2010-09-16,0.050175614651282174,hold
162,2010-10-14,0.03758221108676185,hold
163,2010-11-16,-1.2858759386894403,appreciation
164,2010-12-16,-0.41778321693077825,hold
165,2011-01-13,-0.5102040816326481,appreciation
166,2011-02-17,-0.08950452850293722,hold
167,2011-03-17,-1.0854593672265378,appreciation
168,2011-04-12,-0.2279539026552424,hold
169,2011-05-12,0.5332362514990585,depreciation
170,2011-06-14,1.1049605217988479,depreciation
171,2011-07-14,-0.07567567567567934,hold
172,2011-08-18,-0.23634118298343498,hold
173,2011-09-15,0.3262165157566832,hold
174,2011-10-13,-1.098574821852738,appreciation
175,2011-11-15,0.0,hold
176,2011-12-13,0.9805825242718447,depreciation
177,2012-01-12,0.0,hold
178,2012-02-14,0.0,hold
179,2012-03-15,0.0,hold
180,2012-04-17,0.0,hold
181,2012-05-17,0.0,hold
182,2012-06-14,0.0,hold
183,2012-07-12,0.0,hold
184,2012-08-16,0.07024793388428208,hold
185,2012-09-13,-1.0526315789473717,appreciation
186,2012-10-18,0.5058629301951667,depreciation
187,2012-11-13,0.033071517155836005,hold
188,2012-12-13,-0.18743945073922408,hold
189,2013-01-17,-0.1334123925289199,hold
190,2013-02-14,0.10408700824200423,hold
191,2013-03-14,0.2313930284889354,hold
192,2013-04-11,0.2026666666666621,hold
193,2013-05-16,0.31250000000000444,hold
194,2013-06-13,-0.39935457845905464,hold
195,2013-07-11,-0.4322625012280201,appreciation
196,2013-08-13,-0.44661221131808704,appreciation
197,2013-09-12,0.0,hold
198,2013-10-17,0.5688489412526865,depreciation
199,2013-11-19,0.4964020471774466,depreciation
200,2013-12-12,-0.5666998179805205,appreciation
201,2014-01-16,1.1950098489822647,depreciation
202,2014-02-18,1.4276325397984513,depreciation
203,2014-03-13,-0.13099750231428953,hold
204,2014-04-17,0.0,hold
205,2014-05-15,-0.4213305365183384,hold
206,2014-06-12,0.24710062586801307,hold
207,2014-07-15,1.26096392889814,depreciation
208,2014-08-14,0.0,hold
209,2014-09-11,0.0,hold
210,2014-10-16,-0.6908228919742743,appreciation
211,2014-11-18,0.14877967235038536,hold
212,2014-12-11,0.47087094888613734,depreciation
213,2015-01-15,0.3675295621604402,hold
214,2015-02-12,-0.6616241910359588,appreciation
215,2015-03-19,-1.1061117360329997,appreciation
216,2015-04-16,0.1438119984965125,hold
217,2015-05-14,0.03190060443249987,hold
218,2015-06-11,0.0,hold
219,2015-07-14,-0.8805613385766131,appreciation
220,2015-08-13,-0.21576545711660122,hold
221,2015-09-15,-0.8916453848960226,appreciation
222,2015-10-15,0.13202201355821952,hold
223,2015-11-12,0.33768861405183426,hold
224,2015-12-17,-1.373362691960256,appreciation
225,2016-01-14,0.7801193610188495,depreciation
226,2016-02-11,-1.0998248686514889,appreciation
227,2016-03-17,0.8928971376524819,depreciation
228,2016-04-12,-1.3751930616609176,appreciation
229,2016-05-17,1.048078039716649,depreciation
230,2016-06-16,-0.6708875464684017,appreciation
231,2016-07-14,0.21507028189569066,hold
232,2016-08-11,1.0094411522249658,depreciation
233,2016-09-15,0.6710108405529214,depreciation
234,2016-10-18,-0.231921356216247,hold
235,2016-11-17,0.516968107955984,depreciation
236,2016-12-13,2.325760019662959,depreciation
237,2017-01-19,-0.47421368401915354,appreciation
238,2017-02-14,-0.45192457534675157,appreciation
239,2017-03-16,0.003020189969937803,hold
240,2017-04-13,0.0,hold
241,2017-05-18,-0.9227032390882628,appreciation
242,2017-06-15,-0.18177447946398084,hold
243,2017-07-13,-0.5115554008445211,appreciation
244,2017-08-17,0.09134823806280501,hold
245,2017-09-14,0.21620755925688684,hold
246,2017-10-19,0.6253998720409326,depreciation
247,2017-11-14,-0.2310236245391506,hold
248,2017-12-14,-0.3633402242686157,hold
249,2018-02-01,1.0304096506659866,depreciation
250,2018-03-20,-0.4781946514255675,appreciation
251,2018-05-03,0.33244573549584544,hold
252,2018-06-13,0.2277003842444003,hold
253,2018-07-24,-1.118291397405935,appreciation
254,2018-09-04,-0.5728137129005773,appreciation
255,2018-10-18,0.5094657255087398,depreciation
256,2018-12-04,1.6280985546319293,depreciation
257,2019-01-30,-2.3071161048689115,appreciation
258,2019-03-29,0.0,hold
259,2019-05-09,0.2570206054587576,hold
260,2019-07-18,0.39319437542024716,hold
261,2019-09-03,-1.4674676881527793,appreciation
262,2019-10-23,0.23821982319407464,hold
263,2019-12-04,-1.6392821031344873,appreciation
264,2020-01-29,1.1204871023976049,depreciation
265,2020-03-16,1.5118183945705521,depreciation
266,2020-03-31,0.45021341285154115,depreciation
267,2020-05-06,-1.477421660907896,appreciation
268,2020-06-16,3.8767585460564025,depreciation
269,2020-07-15,-0.4374286801065108,appreciation
270,2020-09-01,0.5030794165316044,depreciation
271,2020-10-15,-0.8867633139042486,appreciation
272,2020-12-07,-0.008080808080801472,hold
273,2021-01-27,-0.9358686538097349,appreciation
274,2021-03-30,-1.7323546328503747,appreciation
275,2021-05-13,-1.0594267794838519,appreciation
276,2021-06-08,0.4053941099440017,hold
277,2021-07-14,1.6224623883719147,depreciation
278,2021-08-31,-0.8486727378414938,appreciation
279,2021-10-13,0.934968813949788,depreciation
280,2021-12-14,0.38520801232666546,hold
281,2022-01-26,1.430620517617709,depreciation
282,2022-03-29,0.7885626362354126,depreciation
283,2022-05-05,-0.21374719747221382,hold
284,2022-06-07,-0.31423737007493235,hold
285,2022-07-13,-3.3720238095238053,appreciation
286,2022-09-06,-1.3405756523686918,appreciation
287,2022-10-12,1.984320372920867,depreciation
288,2022-12-06,-1.4352652169957292,appreciation
289,2023-01-26,0.5475249130071358,depreciation
290,2023-04-04,1.2813377363857903,depreciation
291,2023-05-12,0.0,hold
292,2023-06-19,1.0837995850883297,depreciation
293,2023-07-28,0.0,hold
294,2023-09-05,1.1502664135927931,depreciation
295,2023-10-26,0.0,hold
296,2023-12-19,2.1387954044330915,depreciation
297,2024-01-31,1.987988117277295,depreciation
298,2024-04-02,-3.3981527989913163,appreciation
299,2024-05-23,-0.7861462341946068,appreciation
300,2024-06-18,-0.5154859228585496,appreciation
301,2024-07-31,0.9504593001646189,depreciation
302,2024-09-03,1.3342228152101399,depreciation
303,2024-10-17,0.8031279721018691,depreciation
304,2024-12-17,0.47275340898738083,depreciation
305,2025-01-28,-0.9689298506861954,appreciation
