,decision_date_hu,curr_change_hu,category_hu
129,2003-10-20,-1.218458740622863,appreciation
130,2003-10-18,0.11834858209294197,hold
131,2003-11-17,-1.080366504079866,appreciation
132,2003-11-22,1.8933271761717885,depreciation
133,2003-11-27,-2.033701336432303,appreciation
134,2003-12-15,-1.2935647480340595,appreciation
135,2003-12-20,0.1930956529929917,hold
136,2005-01-24,-0.39271878151038164,hold
137,2005-02-21,-1.6852726492056602,appreciation
138,2005-03-29,-0.6921675774134828,appreciation
139,2005-04-25,0.8238177172949612,depreciation
140,2005-05-23,0.6421105027376806,hold
141,2005-06-20,0.0882136731193306,hold
142,2005-07-18,-0.9385999217833452,appreciation
143,2005-08-22,-0.039944078290399254,hold
144,2005-09-19,-0.3355704697986517,hold
145,2005-10-24,-1.3266606864642871,appreciation
146,2005-11-28,1.415227851684131,depreciation
147,2005-12-19,0.9916567342074023,depreciation
148,2006-01-23,0.1428008666535252,hold
149,2006-02-27,-0.24884965724480956,hold
150,2006-03-20,1.7073397049271577,depreciation
151,2006-04-24,0.7551444213705905,depreciation
152,2006-05-22,0.42822384428222726,hold
153,2006-06-19,-0.33163728875159615,hold
154,2006-07-24,-1.1136269118802278,appreciation
155,2006-08-28,-1.1672972224785472,appreciation
156,2006-09-25,0.05106778087278219,hold
157,2006-10-24,-1.9318127480514424,appreciation
158,2006-11-20,-0.5829305963828468,appreciation
159,2006-12-18,-0.7719807263872225,appreciation
160,2007-01-22,0.18435067595246046,hold
161,2007-02-26,0.7266833960685837,depreciation
162,2007-03-26,0.7157079050745141,depreciation
163,2007-04-23,-0.4203772332540434,hold
164,2007-05-21,0.3034408019506829,hold
165,2007-06-25,0.021779374931929496,hold
166,2007-07-23,1.29666011787819,depreciation
167,2007-08-27,-0.21310602024505743,hold
168,2007-09-24,-0.10703622331136309,hold
169,2007-10-29,-0.49436652103932444,hold
170,2007-11-26,-1.1538683436219888,appreciation
171,2007-12-17,-0.20886254586508501,hold
172,2008-01-21,-1.7642475512021472,appreciation
173,2008-02-25,-3.0932516033827073,appreciation
174,2008-03-31,-0.5267938237965564,hold
175,2008-04-28,0.21091811414393202,hold
176,2008-05-26,0.7321972396812093,depreciation
177,2008-06-23,-2.463758694662954,appreciation
178,2008-07-21,3.993031358885002,depreciation
179,2008-08-25,1.2978830645161255,depreciation
180,2008-09-29,2.241542465105262,depreciation
181,2008-10-20,7.23865877712031,depreciation
182,2008-11-24,0.9459795867562848,depreciation
183,2008-12-22,0.01056077727321636,hold
184,2009-01-19,-0.7784595658943072,appreciation
185,2009-02-23,1.293379433986419,depreciation
186,2009-03-23,0.22131887985545884,hold
187,2009-04-20,-1.4397172291909177,appreciation
188,2009-05-25,2.4464678807284423,depreciation
