,decision_date_cn,curr_change_cn,category_cn
139,2005-05-03,0.0,hold
140,2005-06-02,0.0,hold
141,2005-07-02,0.0,hold
142,2005-08-01,0.0061693359326930874,hold
143,2005-08-31,-0.07777969826414655,hold
144,2005-09-30,0.0,hold
145,2005-10-30,0.02474022761009831,hold
146,2005-11-29,0.0024753700678337154,hold
147,2005-12-29,-0.008673134346848244,hold
148,2006-01-28,-0.009923588369553649,hold
149,2006-02-27,-0.047259566953128385,hold
150,2006-03-29,-0.10839905804955752,appreciation
151,2006-04-28,0.0,hold
152,2006-05-23,-0.064805583250227,hold
153,2006-06-22,0.04752138462307265,hold
154,2006-07-22,-0.2087030418155833,appreciation
155,2006-08-21,0.05398212312945905,hold
156,2006-09-20,-0.08831136062574796,appreciation
157,2006-10-20,0.0,hold
158,2006-11-19,-0.007622338533452844,hold
159,2006-12-19,-0.07797719486628552,hold
160,2007-01-18,0.0257377070276954,hold
161,2007-02-17,-0.13413989243011848,appreciation
162,2007-03-19,-0.03231268337448023,hold
163,2007-04-21,0.0673740946605994,hold
164,2007-05-21,-0.10957188698442755,appreciation
165,2007-06-23,-0.0393551010770099,hold
166,2007-07-23,-0.08595382296157084,appreciation
167,2007-08-22,-0.46950209105972585,appreciation
168,2007-09-17,-0.11698549645721146,appreciation
169,2007-10-22,-0.21971290846627411,appreciation
170,2007-11-21,-0.12003830435779461,appreciation
171,2007-12-21,0.0,hold
172,2008-01-20,-0.04694511563686499,hold
173,2008-02-19,-0.19842101585971772,appreciation
174,2008-03-20,0.04254413954478675,hold
175,2008-04-19,0.09294211850834344,depreciation
176,2008-05-19,-0.23940936133610702,appreciation
177,2008-06-18,-0.029060474848152662,hold
178,2008-07-18,0.0,hold
179,2008-08-17,-0.10766455217365856,appreciation
180,2008-09-16,-0.08181034608698567,appreciation
181,2008-10-09,0.23019515270590318,depreciation
182,2008-10-30,-0.03069771521291287,hold
183,2008-11-27,0.09665939280325553,depreciation
184,2008-12-23,-0.2628197640462515,appreciation
185,2010-01-23,0.0,hold
186,2010-02-22,0.007324397568297947,hold
187,2010-03-24,0.005859346389902598,hold
188,2010-04-23,0.0,hold
189,2010-05-23,0.054190222326377935,hold
190,2010-06-22,-0.18934390136503554,appreciation
191,2010-07-22,0.0029499830375812053,hold
192,2010-08-21,0.1399013327442855,depreciation
193,2010-09-20,-0.34405206952533574,appreciation
194,2010-10-20,0.09473399296262563,depreciation
195,2010-11-27,0.19680899011447206,depreciation
196,2010-12-27,-0.12972125015082714,appreciation
197,2011-01-10,-0.30154542027893694,appreciation
198,2011-02-09,0.054628224582708995,hold
199,2011-03-07,0.13712196236763674,depreciation
200,2011-04-06,-0.12070651509595853,appreciation
201,2011-05-08,-0.015396221767172147,hold
202,2011-06-07,-0.007717359428305315,hold
203,2011-07-07,-0.023191811744338597,hold
204,2011-08-13,0.015649452269173025,hold
205,2011-09-12,0.1299229854110573,depreciation
206,2011-10-12,0.3113403358701916,depreciation
207,2011-11-11,0.0,hold
208,2011-12-11,0.026712759270908215,hold
209,2012-01-10,0.04908946951702742,hold
210,2012-02-09,0.07466124445998368,hold
211,2012-03-10,0.24242232186713064,depreciation
212,2012-04-09,-0.01109596423929382,hold
213,2012-05-09,0.007924181432050759,hold
214,2012-06-08,0.0,hold
215,2012-07-06,0.0,hold
216,2012-08-06,-0.19768116851535122,appreciation
217,2012-09-05,-0.10237510237509628,appreciation
218,2012-10-05,0.0,hold
219,2012-11-04,0.06568828505510993,hold
220,2012-12-04,0.03694185672984407,hold
221,2013-01-03,0.004815177439287943,hold
222,2013-02-02,0.10277822386379754,depreciation
223,2013-03-04,-0.15900549291703037,appreciation
224,2013-04-03,0.0,hold
225,2013-05-03,0.0,hold
226,2013-06-02,-0.101077617828782,appreciation
227,2013-07-02,-0.10923438111386519,appreciation
228,2013-08-01,0.016315875346717412,hold
229,2013-08-31,-0.03594771241830497,hold
230,2013-09-30,0.0,hold
231,2013-10-30,0.10010667104292104,depreciation
232,2013-11-29,0.0,hold
233,2013-12-29,-0.245514014071746,appreciation
