,decision_date_id,curr_change_id,category_id
128,2015-05-18,0.3120956078252357,depreciation
129,2015-06-18,0.18785692816352118,hold
130,2015-07-14,0.059979007347421565,hold
131,2015-08-18,0.3689769931992437,depreciation
132,2015-09-17,-0.5463725015561249,appreciation
133,2015-10-15,0.5349977708426268,depreciation
134,2015-11-17,0.19639220250218248,hold
135,2015-12-17,-0.6568144499178974,appreciation
136,2016-01-14,-0.13656292675914283,hold
137,2016-02-18,-0.029623046730353764,hold
138,2016-03-17,0.19091256204657459,hold
139,2016-04-21,0.3420752565564511,depreciation
140,2016-05-19,0.46511627906977715,depreciation
141,2016-06-16,-0.21693596648713065,appreciation
142,2016-07-21,0.0610687022900791,hold
143,2016-08-19,0.0,hold
144,2016-09-22,-0.09931245225363039,hold
145,2016-10-20,0.261377613776137,depreciation
146,2016-11-17,0.41127645255365497,depreciation
147,2017-01-19,0.2541866028708206,depreciation
148,2017-02-16,0.09759759759759845,hold
149,2017-03-16,-0.05242660275613931,hold
150,2017-04-20,-0.007505817008179871,hold
151,2017-05-18,-0.15723270440252124,hold
152,2017-06-15,0.09784735812132794,hold
153,2017-07-20,-0.1649793775778008,hold
154,2017-08-22,0.02997826575732443,hold
155,2017-09-22,0.0,hold
156,2017-10-19,0.0,hold
157,2017-11-16,-0.10338207059518156,hold
158,2017-12-14,0.007364854912350616,hold
159,2018-01-18,-0.25473889263505356,appreciation
160,2018-02-15,0.0,hold
161,2018-03-22,0.21086308441795598,hold
162,2018-04-19,0.7038676438574809,depreciation
163,2018-05-17,0.7187588955308799,depreciation
164,2018-05-30,-0.6862044317369587,appreciation
165,2018-06-29,0.0,hold
166,2018-07-19,0.03454231433506205,hold
167,2018-08-15,0.1027397260273899,hold
168,2018-09-27,-0.13402130938818813,hold
169,2018-10-23,-0.02632964718273234,hold
170,2018-11-15,-0.3614047050801261,appreciation
171,2018-12-20,0.5527534028881398,depreciation
172,2019-01-17,-0.0986471251409271,hold
173,2019-02-21,-0.09238860066803634,hold
174,2019-03-21,0.17680339462518013,hold
175,2019-04-25,0.021146119687043274,hold
176,2019-05-16,0.0069194575145203885,hold
177,2019-06-20,-0.20441249030802577,hold
178,2019-07-18,-0.1575931232091654,hold
179,2019-08-22,-0.14049877063575522,hold
180,2019-09-19,-0.05688686624475414,hold
181,2019-10-24,-0.14937050999359602,hold
182,2019-11-21,0.021291696238456836,hold
183,2019-12-19,0.021450021450020174,hold
184,2020-01-23,-0.41058728645795295,appreciation
185,2020-02-20,0.07272727272726875,hold
186,2020-03-19,0.295355998240443,depreciation
187,2020-04-14,-0.03195909236177741,hold
188,2020-05-19,-0.4062288422478022,appreciation
189,2020-06-18,0.15627219775535828,hold
190,2020-07-16,0.5333333333333412,depreciation
191,2020-08-19,0.0,hold
192,2020-09-17,-0.6606890042472835,appreciation
193,2020-10-13,-0.2376910016977929,appreciation
194,2020-11-19,0.07064641469445299,hold
195,2020-12-17,0.014176353841799383,hold
196,2021-01-21,0.24999999999999467,hold
197,2021-02-18,0.2852049910873511,depreciation
198,2021-03-18,-0.01387925052047656,hold
199,2021-04-20,0.15174506828528056,hold
200,2021-06-17,0.13932427725531493,hold
201,2021-07-22,0.06904646827314842,hold
202,2021-08-19,0.3471498993265376,depreciation
203,2021-09-21,0.03511729175444955,hold
204,2021-10-19,0.333901676612669,depreciation
205,2021-11-18,0.07028394714647668,hold
206,2021-12-16,0.1743010527783584,hold
207,2022-01-20,0.0,hold
208,2022-02-10,0.06972042111135224,hold
209,2022-03-17,0.27267006921625203,depreciation
210,2022-04-19,0.0,hold
211,2022-05-24,-0.17055532814844732,hold
212,2022-06-23,0.06739452756436837,hold
213,2022-07-21,-0.09978048293753927,hold
214,2022-08-23,-0.10109179134654145,hold
215,2022-09-22,0.1331735251032029,hold
216,2022-10-20,0.38528221922558004,depreciation
217,2022-11-17,0.15961182404391483,hold
218,2022-12-22,0.06417249566834649,hold
219,2023-01-19,-0.19200211864406347,hold
220,2023-02-16,0.3034901365705611,depreciation
221,2023-03-16,-0.2275682704811488,appreciation
222,2023-04-18,0.0,hold
223,2023-05-25,0.033444816053518345,hold
224,2023-06-22,0.3614457831325302,depreciation
225,2023-07-25,0.04668845461215376,hold
226,2023-08-24,0.3279763857002349,depreciation
227,2023-09-21,0.0,hold
228,2023-10-19,0.3793866582358474,depreciation
