,decision_date_pl,curr_change_pl,category_pl
132,2006-01-31,0.6735718370718624,depreciation
133,2006-02-28,-0.7787867322487152,appreciation
134,2006-03-29,-1.3893120467978748,appreciation
135,2006-04-26,-1.8495961020643659,appreciation
136,2006-05-31,-0.9260763606823819,appreciation
137,2006-06-28,-1.8280632411067255,appreciation
138,2006-07-26,0.1653857379122492,hold
139,2006-08-30,0.6647332920590499,depreciation
140,2006-09-27,0.16950778776345654,hold
141,2006-10-25,-1.461317125214201,appreciation
142,2006-11-29,-1.5287676892883018,appreciation
143,2006-12-20,0.7633058080632749,depreciation
144,2007-01-31,-0.016616263999202907,hold
145,2007-02-28,-0.26663066590164597,hold
146,2007-03-28,-0.32313509797180506,hold
147,2007-04-25,0.03980747656786576,hold
148,2007-05-30,-0.6029375679181048,appreciation
149,2007-06-27,-1.1255503479619344,appreciation
150,2007-07-25,0.5128390335512378,hold
151,2007-08-29,-0.03203302961276577,hold
152,2007-09-26,-0.9714541921984843,appreciation
153,2007-10-31,0.48648217561209073,hold
154,2007-11-28,-0.29577407722540805,hold
155,2007-12-19,0.20295276373909488,hold
156,2008-01-30,-0.7729112992270859,appreciation
157,2008-02-27,-0.8301240907145901,appreciation
158,2008-03-26,-0.17866714311237653,hold
159,2008-04-30,0.7258464451557645,depreciation
160,2008-05-28,0.004601085856270615,hold
161,2008-06-25,-1.063187706021651,appreciation
162,2008-07-30,0.053364381700848895,hold
163,2008-08-27,0.19853525103681324,hold
164,2008-09-24,0.8151816627952835,depreciation
165,2008-10-29,1.4580135935101879,depreciation
166,2008-11-26,1.5997544087048343,depreciation
167,2008-12-23,-0.3901876293556761,hold
168,2009-01-27,1.4899919217305602,depreciation
169,2009-02-25,-0.5153241117439533,hold
170,2009-03-25,4.673702987958972,depreciation
171,2009-04-29,-0.5977178047455234,appreciation
172,2009-05-27,-0.9244848409388107,appreciation
173,2009-06-24,-1.5979349763382666,appreciation
174,2009-07-29,-2.6511347660172824,appreciation
175,2009-08-26,-1.0138057506660747,appreciation
176,2009-09-30,0.9431335699867649,depreciation
177,2009-10-28,-0.8615363492826322,appreciation
178,2009-11-25,2.202139431943939,depreciation
179,2009-12-23,-1.2335469643718566,appreciation
180,2010-01-26,0.7903910537396808,depreciation
181,2010-02-24,-1.5651582170806533,appreciation
182,2010-03-31,-0.3219484882418966,hold
183,2010-04-12,-0.5523306948108986,appreciation
184,2010-04-28,-0.05412353697313854,hold
185,2010-05-25,-2.0690272884695826,appreciation
186,2010-06-30,-2.4405359145369787,appreciation
187,2010-08-24,-0.8134695421869176,appreciation
188,2010-09-29,-2.076053442959913,appreciation
189,2010-10-27,-1.0948905109488982,appreciation
190,2010-11-23,0.043662255659304705,hold
191,2010-12-22,-0.6895872327849495,appreciation
192,2011-01-19,-0.9187402122846633,appreciation
193,2011-03-02,-0.7744095998883704,appreciation
194,2011-04-05,-1.2606388661372536,appreciation
195,2011-05-11,1.193369364140895,depreciation
196,2011-06-08,1.3360398597527245,depreciation
197,2011-07-06,0.2753224170410018,hold
198,2011-09-07,5.614282358468414,depreciation
199,2011-10-05,-0.32897742849310463,hold
200,2011-11-09,-1.8237269338590933,appreciation
201,2011-12-07,1.3705629527215768,depreciation
202,2012-01-11,-1.0385841110858274,appreciation
203,2012-02-08,1.188099990495206,depreciation
204,2012-03-07,-1.3706001519371958,appreciation
205,2012-04-04,0.5125122591666864,hold
206,2012-05-09,0.6100350770169349,depreciation
207,2012-06-06,0.06999941667154008,hold
208,2012-07-04,2.6715402216873185,depreciation
209,2012-09-05,-3.638830268314752,appreciation
210,2012-10-03,-1.2066079156006215,appreciation
211,2012-11-07,0.9499722410708733,depreciation
212,2012-12-05,1.1167158402334953,depreciation
213,2013-01-09,-1.3392285018582584,appreciation
214,2013-02-06,0.49197307094770437,hold
215,2013-03-06,-0.6720850265707901,appreciation
216,2013-04-10,-0.25828258027486006,hold
217,2013-05-08,1.5764833274945156,depreciation
218,2013-06-05,-1.974206955565072,appreciation
219,2013-07-03,1.384187620889743,depreciation
220,2013-09-04,0.2964976218419846,hold
221,2013-10-02,-0.19975513886204554,hold
222,2013-11-06,1.3248679990930157,depreciation
223,2013-12-04,-1.1712178076873303,appreciation
224,2014-01-08,-1.3456412923356864,appreciation
225,2014-02-05,-1.1076664729057661,appreciation
226,2014-03-05,-0.6037735849056536,appreciation
227,2014-04-09,0.17969451931716396,hold
228,2014-05-07,0.9698741156541679,depreciation
229,2014-06-03,-0.8068483715438335,appreciation
230,2014-07-02,0.5601502520676149,depreciation
231,2014-09-03,1.128208342473913,depreciation
232,2014-10-08,1.1496005366835371,depreciation
233,2014-11-05,0.251026254392972,hold
234,2014-12-03,0.35573474046186604,hold
235,2015-01-14,3.207223176203411,depreciation
236,2015-02-04,-0.073453397899792,hold
237,2015-03-04,1.6734279918864114,depreciation
238,2015-04-15,-1.011817819678662,appreciation
239,2015-05-06,1.3377457441736462,depreciation
240,2015-06-03,1.3458986649335092,depreciation
241,2015-07-08,-2.171470380725926,appreciation
242,2015-09-02,0.543348617774142,hold
243,2015-10-06,-0.446630333643494,hold
244,2015-11-04,1.8923486633207087,depreciation
245,2015-12-02,-1.5780462992829425,appreciation
246,2016-01-14,1.6071207813079358,depreciation
247,2016-02-03,-0.7980124971768476,appreciation
248,2016-03-11,0.0,hold
249,2016-04-06,0.7132172240624124,depreciation
250,2016-05-06,0.0,hold
251,2016-06-08,2.6671239381628187,depreciation
252,2016-07-06,-0.18752344043004854,hold
253,2016-09-07,0.5490073634636827,depreciation
254,2016-10-05,-0.4610695772226392,hold
255,2016-11-09,2.3061849972366044,depreciation
256,2016-12-07,2.211874272409786,depreciation
257,2017-01-11,-0.22509984267214955,hold
258,2017-02-08,0.1836775218427178,hold
259,2017-03-08,-0.6212395440982066,appreciation
260,2017-04-05,0.35759254595819634,hold
261,2017-05-17,-0.22899747037677942,hold
262,2017-06-07,0.040146669164675686,hold
263,2017-07-05,-0.2657718120805397,hold
264,2017-09-06,-1.088267466973336,appreciation
265,2017-10-04,0.5445490367775863,depreciation
266,2017-11-08,-0.8565955117679214,appreciation
267,2017-12-05,0.4665017985611586,hold
268,2018-01-10,-2.1920160251824305,appreciation
269,2018-02-07,0.5295052068012174,hold
270,2018-03-07,0.5959229430333002,depreciation
271,2018-04-11,-0.127061048401389,hold
272,2018-05-16,0.8704302412335219,depreciation
273,2018-06-06,0.3228744101333003,hold
274,2018-07-11,-0.6991878664013296,appreciation
275,2018-09-05,0.3062293496655766,hold
276,2018-10-03,-0.3335112059765222,hold
277,2018-11-07,0.7859750086590456,depreciation
278,2018-11-20,-0.6355317634028745,appreciation
279,2018-12-05,-0.21435376309939524,hold
280,2019-01-09,0.4885906040268395,hold
281,2019-02-06,0.6955831790531608,depreciation
282,2019-03-06,0.7155258588940727,depreciation
283,2019-04-03,0.20951732446377047,hold
284,2019-05-15,0.510496431734131,hold
285,2019-06-05,-1.4349799312678657,appreciation
286,2019-07-03,0.7392437377014227,depreciation
287,2019-09-11,-0.9235062793352733,appreciation
288,2019-10-02,-1.0783500490159081,appreciation
289,2019-11-06,0.42027707155087857,hold
290,2019-12-04,0.09579536039767689,hold
291,2020-01-08,-0.044608885040275936,hold
292,2020-02-05,1.1425462459194735,depreciation
293,2020-03-04,-1.0984159958452366,appreciation
294,2020-03-17,5.070325563096301,depreciation
295,2020-04-08,-0.34249856294310543,hold
296,2020-05-28,-0.3431896744671814,hold
297,2020-06-16,0.5875797791510484,depreciation
298,2020-07-14,0.34647916029757475,hold
299,2020-09-15,0.05056957308633425,hold
300,2020-10-07,-0.8527050427664329,appreciation
301,2020-11-06,0.0,hold
302,2020-12-02,-0.16515500203059252,hold
303,2021-01-13,0.6646477099134351,depreciation
304,2021-02-03,-0.05365094693920991,hold
305,2021-03-03,2.114675369471186,depreciation
306,2021-04-07,-1.2426388564609425,appreciation
307,2021-05-05,-1.6884174040910582,appreciation
308,2021-06-09,1.1707051456575135,depreciation
309,2021-07-08,-0.22152146152042418,hold
310,2021-09-08,0.6119406888255519,depreciation
311,2021-10-06,1.0823720717516139,depreciation
312,2021-11-03,0.7425805307043065,depreciation
313,2021-12-08,0.5066778168581143,hold
314,2022-01-04,-0.29918650940831126,hold
315,2022-02-08,-0.6226681456085514,appreciation
316,2022-03-08,-2.8810802379732103,appreciation
317,2022-04-06,-0.4625087596356048,hold
318,2022-05-05,0.16159802491302333,hold
319,2022-06-08,2.390577898254387,depreciation
320,2022-07-07,-0.3676079981300928,hold
321,2022-09-07,-0.728114120743828,appreciation
322,2022-10-05,2.2192622950819585,depreciation
323,2022-11-09,-3.7070082637605473,appreciation
324,2022-12-07,-0.4345878136200687,hold
325,2023-01-04,0.24086529721869532,hold
326,2023-02-08,0.9672316384180979,depreciation
327,2023-03-08,-0.9684248457276778,appreciation
328,2023-04-05,-0.16990178280500423,hold
329,2023-05-10,1.1958582470468215,depreciation
330,2023-06-06,-0.8722666985302996,appreciation
331,2023-07-06,-1.4107077819594638,appreciation
332,2023-09-06,1.341099654743183,depreciation
333,2023-10-04,-1.2706741188547976,appreciation
334,2023-11-08,-0.19037062027086327,hold
335,2023-12-06,0.15668133999848788,hold
336,2024-01-09,-0.3116282576462015,hold
337,2024-02-07,-0.47873000124024623,hold
338,2024-03-06,-0.42062587102495996,hold
339,2024-04-04,-0.2651983936554414,hold
340,2024-05-09,0.47273001584147156,hold
341,2024-06-05,1.1091415548240002,depreciation
342,2024-07-03,-0.8080503902230918,appreciation
343,2024-09-04,0.17369662717443557,hold
344,2024-10-02,1.113769066543191,depreciation
345,2024-11-06,-0.5594577942082624,appreciation
346,2024-12-04,-0.8521192475811623,appreciation
347,2025-01-16,0.18360148813838517,hold
