,decision_date_my,curr_change_my,category_my
143,2016-09-07,0.23404779502340656,hold
144,2016-11-23,0.31049611879852,hold
145,2017-01-19,-0.044953922229706844,hold
146,2017-03-02,0.09438202247191718,hold
147,2017-05-12,0.0,hold
148,2017-07-13,-0.01863498718844836,hold
149,2017-09-07,-0.35625222657640343,appreciation
150,2017-11-09,-0.3494591703316341,appreciation
151,2018-01-25,-0.3860507013254466,appreciation
152,2018-03-07,0.1715836918664282,hold
153,2018-05-10,0.0,hold
154,2018-07-11,0.3467921724052525,depreciation
155,2018-09-05,-0.04098657087061586,hold
156,2018-11-08,0.36505115519478437,depreciation
157,2019-01-24,-0.47282464477841346,appreciation
158,2019-03-05,0.2452783909737466,hold
159,2019-05-07,0.1084860173577562,hold
160,2019-07-09,-0.6398338846367535,appreciation
161,2019-09-12,-0.03121023695773495,hold
162,2019-11-05,-0.16945049624789155,hold
163,2020-01-22,-0.1844791538556212,hold
164,2020-03-03,-1.0341138713895082,appreciation
165,2020-05-05,0.40638134825721206,depreciation
166,2020-07-07,-0.31571562207669546,hold
167,2020-09-10,-0.28821904647531316,hold
168,2020-11-03,-0.2525252525252597,hold
169,2021-01-20,-0.0049462099666053305,hold
170,2021-03-04,0.42390634627234025,depreciation
171,2021-05-06,-0.23529411764704466,hold
172,2021-07-08,0.22475671281352305,hold
173,2021-09-09,-0.3133662769675749,hold
174,2021-11-03,0.11555127587867808,hold
175,2022-01-20,-0.09547678720609465,hold
176,2022-03-03,-0.24355300859597584,hold
177,2022-05-11,0.48429468874926496,depreciation
178,2022-07-06,0.0384224206124939,hold
179,2022-09-08,-0.08663393828997057,hold
180,2022-11-03,0.09486665963951424,hold
181,2023-01-19,-0.5177257214496245,appreciation
182,2023-03-09,0.02212878955520914,hold
183,2023-05-03,-0.42422337942178423,appreciation
184,2023-07-06,0.1287415513357093,hold
185,2023-09-07,0.004276245456491523,hold
186,2023-11-02,-0.48840048840048667,appreciation
187,2024-01-24,-0.031702419951373795,hold
188,2024-03-07,-0.4611918728215425,appreciation
189,2024-05-09,-0.02742037544820608,hold
190,2024-07-11,-0.34133333333333793,appreciation
191,2024-09-05,-0.17980636237898695,hold
192,2024-11-06,-0.47689338026569716,appreciation
193,2025-01-22,-1.3143063258036936,appreciation
