,decision_date_ph,curr_change_ph,category_ph
134,1996-09-04,0.07633587786259888,hold
135,1996-09-09,0.038153376573824005,hold
136,1996-11-26,0.09139375476008293,hold
137,1997-01-08,0.03799392097263432,hold
138,1997-03-04,-0.007598206823189457,hold
139,1997-03-11,0.018996960486328263,hold
140,1997-03-14,0.0,hold
141,1997-03-26,-0.07207890743550216,hold
142,1997-04-10,0.0,hold
143,1997-04-25,0.0,hold
144,1997-05-02,0.0,hold
145,1997-05-05,-0.03793626707131459,hold
146,1997-05-08,0.08349146110055994,hold
147,1997-05-15,-0.03793626707131459,hold
148,1997-05-19,0.0,hold
149,1997-05-22,0.0,hold
150,1997-05-29,0.07590132827324236,hold
151,1997-06-05,0.0,hold
152,1997-06-13,0.0,hold
153,1997-06-19,0.0,hold
154,1997-06-20,0.0,hold
155,1997-07-03,-0.15151515151514694,hold
156,1997-07-08,0.0,hold
157,1997-07-10,11.553030303030297,depreciation
158,1997-07-17,-0.8695652173912993,appreciation
159,1997-07-18,0.0,hold
160,1997-07-28,1.590106007067127,depreciation
161,1997-07-31,0.0,hold
162,1997-08-07,-0.35211267605632646,hold
163,1997-08-14,-0.9833841980332325,appreciation
164,1997-08-28,1.3468013468013629,depreciation
165,1997-10-02,1.5988372093023395,depreciation
166,1997-10-09,-2.7737226277372296,appreciation
167,1997-12-11,3.129251700680258,depreciation
168,1998-01-07,-1.9977802441731418,appreciation
169,1998-01-27,-1.4251781472684133,appreciation
170,1998-02-03,1.2499999999999956,depreciation
171,1998-02-10,1.7857142857142794,depreciation
172,1998-02-17,-1.602959309494445,appreciation
173,1998-04-30,0.374999999999992,hold
174,1998-05-19,-1.7113665389527521,appreciation
175,1998-05-26,1.3820078226857824,depreciation
176,1998-07-21,0.9603841536614643,depreciation
177,1998-08-11,-1.2981651376146819,appreciation
178,1998-08-12,-0.9259259259259411,appreciation
179,1998-08-24,2.117647058823535,depreciation
180,1998-10-05,-0.6849315068493067,appreciation
181,1998-10-20,-0.7009345794392496,appreciation
182,1998-11-24,0.3299492385786973,hold
183,1998-12-01,-1.273885350318471,appreciation
184,1999-01-12,1.85185185185186,depreciation
185,1999-01-19,-0.6535947712418277,appreciation
186,1999-02-01,0.13020833333334814,hold
187,1999-03-08,0.12853470437019787,hold
188,1999-03-15,0.12870012870012104,hold
189,1999-03-22,0.1293661060802087,hold
190,1999-03-29,-0.12886597938143174,hold
191,1999-04-05,0.13003901170349774,hold
192,1999-04-12,-0.7285974499089298,appreciation
193,1999-04-19,-0.19723865877711022,hold
194,1999-04-26,-0.26350461133070047,hold
195,1999-05-03,0.0,hold
196,1999-05-10,-0.33222591362126463,hold
197,1999-05-17,-0.39473684210525883,hold
198,1999-05-24,0.3428270042193926,hold
199,1999-06-07,-0.42094185740593204,hold
200,1999-06-14,-0.06609385327166484,hold
201,1999-06-21,-0.26385224274406704,hold
202,1999-06-28,0.19749835418036987,hold
203,1999-07-05,0.3931847968545288,hold
204,1999-11-03,-0.18679950186798466,hold
205,1999-09-23,0.0,hold
206,1999-08-13,0.0,hold
207,1999-07-03,0.5932762030323113,depreciation
208,2000-05-02,-0.03633720930232842,hold
209,2000-05-17,0.06002400960383181,hold
210,2000-05-19,0.0,hold
211,2000-04-08,0.07301046483327855,hold
212,2000-02-27,0.06112469437653534,hold
213,2000-09-11,0.439560439560438,depreciation
214,2000-10-13,0.0,hold
215,2000-12-04,1.1111111111111072,depreciation
216,2000-12-11,0.0,hold
217,2000-12-18,-0.149625935162101,hold
218,2001-01-08,0.2942618930848351,hold
219,2001-01-15,3.6224976167778866,depreciation
220,2001-01-29,-1.309164149043296,appreciation
221,2001-02-05,-1.1201629327902363,appreciation
222,2001-02-12,0.4184100418409997,hold
223,2001-03-12,0.6256517205422307,depreciation
224,2001-03-23,0.0,hold
225,2001-04-20,0.0,hold
226,2001-05-18,0.0,hold
227,2001-04-07,-0.19920318725099584,hold
228,2001-02-25,0.5208333333333259,depreciation
229,2001-01-15,3.6224976167778866,depreciation
230,2001-10-05,0.0,hold
231,2001-11-09,0.0,hold
232,2001-12-07,0.0,hold
233,2001-12-14,0.0,hold
234,2002-01-18,0.0,hold
235,2002-02-15,0.0,hold
236,2002-03-15,0.0,hold
237,2002-02-01,0.0,hold
238,2001-12-21,0.0,hold
239,2001-11-09,0.0,hold
240,2001-09-28,0.0,hold
241,2001-08-17,0.0,hold
242,2001-07-06,0.0,hold
243,2001-05-25,0.0,hold
244,2001-04-13,0.0,hold
245,2001-03-02,0.0,hold
246,2001-01-19,0.0,hold
247,2003-07-02,-0.018719580681403336,hold
248,2003-05-22,-0.29259084473808317,hold
249,2003-04-11,0.0,hold
250,2003-03-01,0.09174311926605228,hold
251,2003-01-19,0.07461294534600871,hold
252,2002-12-09,0.046904315197005,hold
253,2005-04-07,0.11003117549972519,hold
254,2005-02-23,0.04574146921598743,hold
255,2005-01-11,-0.7133939718209303,appreciation
256,2004-11-29,-0.07123775601068916,hold
257,2005-09-22,0.0,hold
258,2005-10-20,-0.4577686024593741,appreciation
259,2006-11-02,-0.03620419164085398,hold
260,2006-12-14,-0.04049566696362472,hold
261,2007-01-25,0.29625089386047243,hold
262,2007-03-08,0.07215007215009006,hold
263,2007-04-19,-0.44020542920029104,appreciation
264,2007-05-31,-0.44295592048401167,appreciation
265,2007-07-12,-0.49802096472532087,appreciation
266,2007-08-23,0.13935041269159676,hold
267,2007-10-04,-0.4894871509622867,appreciation
268,2007-11-15,0.6477732793522373,depreciation
269,2007-12-20,-0.8128137700215032,appreciation
270,2008-01-31,-0.14054293956654584,hold
271,2008-03-13,0.36240637835225353,hold
272,2008-04-24,0.28608892597448143,hold
273,2008-06-05,-0.10198300283286166,hold
274,2008-07-17,-1.0034563496487792,appreciation
275,2008-08-28,0.6155800911321396,depreciation
276,2008-10-06,0.6642066420664339,depreciation
277,2008-11-20,-0.18021625951140097,hold
278,2008-12-18,0.36796953554543155,hold
279,2009-01-29,0.3813559322033866,hold
280,2009-03-05,-0.26729721394056494,hold
281,2009-04-16,0.10884353741495989,hold
282,2009-05-28,-0.30090692927635665,hold
283,2009-07-09,0.4054897067997443,hold
284,2009-08-20,-0.02065262288312164,hold
285,2009-10-01,0.08926104605444518,hold
286,2009-11-05,-0.8653280685541387,appreciation
287,2009-12-17,-0.0064359727972918,hold
288,2010-01-28,-0.19317450096587585,hold
