Country,yld_2yr,yld_5yr,yld_10yr,yld_30yr
United States,1,2,1,1
United Kingdom,1,2,1,1
France,1,2,1,1
Germany,1,2,1,1
Italy,1,2,1,1
Poland,1,2,1,0
Hungary,1,2,1,0
Czechia,1,2,1,0
South Africa,1,2,1,0
Canada,1,2,1,1
Australia,1,2,1,1
South Korea,1,2,1,1
