feature,mean_impact,std_impact,abs_impact,expected_direction,actual_direction,conformity,confidence
act_track_us,0.22072062413690405,2.960937270066494,0.22072062413690405,1,1.0,Conforming,0.7
gdp_forecast_2yr_us,0.1383338932899654,0.9510912507745666,0.1383338932899654,1,1.0,Conforming,0.7
u_rat_us,0.019725907719902208,0.5594465395374927,0.019725907719902208,-1,1.0,Non-Conforming,0.7
pol_rat_us,0.0005446065323873496,0.18680710020768082,0.0005446065323873496,1,1.0,Conforming,0.8
cpi_forecast_2yr_us,0.00043730007045716664,0.03107573966506217,0.00043730007045716664,1,1.0,Conforming,0.9
cpi_inf_us,0.00012793679806159716,0.032901121275200576,0.00012793679806159716,1,1.0,Conforming,0.9
