feature,mean_impact,std_impact,abs_impact
pol_rat_ca,-86.40899443668316,46.18755033110343,86.40899443668316
u_rat_ca,-62.272699382635665,33.286157948484544,62.272699382635665
pol_rat_us,-44.75139517291523,23.920626902453996,44.75139517291523
gdp_forecast_2yr_ca,-1.9094064744667418,1.0206206913632105,1.9094064744667418
cpi_forecast_2yr_ca,4.884981308350689e-17,0.0,4.884981308350689e-17
cpi_inf_ca,4.884981308350689e-17,0.0,4.884981308350689e-17
act_track_ca,4.884981308350689e-17,0.0,4.884981308350689e-17
