feature,mean_impact,std_impact,abs_impact,expected_direction,actual_direction,conformity,confidence
act_track_au,1.0236969914216447,2.879545374542933,1.0236969914216447,1,1.0,Conforming,0.7
gdp_forecast_30yr_au,0.0325047479335438,0.15985671456135367,0.0325047479335438,1,1.0,Conforming,0.7
u_rat_au,0.008790477092958833,0.17374735894512747,0.008790477092958833,-1,1.0,Non-Conforming,0.7
rating_au,0.0017990929476180686,0.909934499867724,0.0017990929476180686,-1,1.0,Non-Conforming,0.8
pol_rat_us,-2.394580365897821e-05,0.03585512732445732,2.394580365897821e-05,1,-1.0,Non-Conforming,0.8
pol_rat_au,1.513801728647124e-05,0.009204768297069895,1.513801728647124e-05,1,1.0,Conforming,0.8
cpi_forecast_30yr_au,5.669509539352191e-07,0.012477082213546545,5.669509539352191e-07,1,1.0,Conforming,0.9
cpi_inf_au,-1.860457249147629e-07,0.005493413180863712,1.860457249147629e-07,1,-1.0,Non-Conforming,0.9
