feature,mean_impact,std_impact,abs_impact,expected_direction,actual_direction,conformity,confidence
act_track_ca,-0.13114293572239125,0.7513764784711643,0.13114293572239125,1,-1.0,Non-Conforming,0.7
gdp_forecast_2yr_ca,0.06891858163523329,2.2528282189754196,0.06891858163523329,1,1.0,Conforming,0.7
u_rat_ca,0.0190722489115063,0.21813681941365293,0.0190722489115063,-1,1.0,Non-Conforming,0.7
pol_rat_us,0.00018291931036242855,0.08996433844380153,0.00018291931036242855,1,1.0,Conforming,0.8
cpi_forecast_2yr_ca,0.0001318619217966117,0.018113771377064797,0.0001318619217966117,1,1.0,Conforming,0.9
cpi_inf_ca,5.4056793083501824e-05,0.019706106170245166,5.4056793083501824e-05,1,1.0,Conforming,0.9
pol_rat_ca,2.6844383383582895e-05,0.059779881024135215,2.6844383383582895e-05,1,1.0,Conforming,0.8
