feature,mean_impact,std_impact,abs_impact
rating_cz,3.4093284004452635,1.7982334465075724,3.4093284004452635
pol_rat_us_influence,-0.20353712327042328,0.10681307281079264,0.20353712327042328
u_rat_cz,-0.18416268583052095,0.14634423505507155,0.18416268583052095
pol_rat_cz,-0.17323705968101585,0.09739742241672875,0.17323705968101585
pol_rat_us,-0.09725199649241782,0.05155418659661709,0.09725199649241782
gdp_forecast_10yr_cz,-0.08643531327462727,0.05877054074781416,0.08643531327462727
act_track_cz,-0.045219454200469356,0.02437033874864994,0.045219454200469356
cpi_inf_cz,-0.01297876531659835,0.008091007548221401,0.01297876531659835
cpi_forecast_10yr_cz,0.009323295558675474,0.007602026605865285,0.009323295558675474
