feature,mean_impact,std_impact,abs_impact,expected_direction,actual_direction,conformity,confidence
act_track_za,5.320044594007169,23.001093930172498,5.320044594007169,1,1.0,Conforming,0.7
u_rat_za,0.01541424072457634,0.6498092492868244,0.01541424072457634,-1,1.0,Non-Conforming,0.7
pol_rat_us,0.0012151271248394453,0.0579707828692459,0.0012151271248394453,1,1.0,Conforming,0.8
pol_rat_us_influence,0.0008700959636734336,0.06735914006763839,0.0008700959636734336,1,1.0,Conforming,0.8
pol_rat_za,0.0006086518021935757,0.2689029009125886,0.0006086518021935757,1,1.0,Conforming,0.8
cpi_inf_za,0.00038958199733031584,0.05497432971716286,0.00038958199733031584,1,1.0,Conforming,0.9
gdp_forecast_2yr_za,0.0001249034250181401,0.021006095470835786,0.0001249034250181401,1,1.0,Conforming,0.7
cpi_forecast_2yr_za,4.4949287529198283e-07,0.003809037030255944,4.4949287529198283e-07,1,1.0,Conforming,0.9
