feature,mean_impact,std_impact,abs_impact,expected_direction,actual_direction,conformity,confidence
u_rat_kr,0.05300201081850552,2.473445772131179,0.05300201081850552,-1,1.0,Non-Conforming,0.7
gdp_forecast_5yr_kr,0.01705387268399668,0.24563099340123754,0.01705387268399668,1,1.0,Conforming,0.7
rating_kr,0.0020119955658106886,3.131654535060368,0.0020119955658106886,-1,1.0,Non-Conforming,0.8
cpi_inf_kr,0.0002984410934235194,0.011537446333931767,0.0002984410934235194,1,1.0,Conforming,0.9
cpi_forecast_5yr_kr,0.00029388427000445993,0.03676843278201594,0.00029388427000445993,1,1.0,Conforming,0.9
pol_rat_kr,0.00022573683743547926,0.27793199166253524,0.00022573683743547926,1,1.0,Conforming,0.8
pol_rat_us_influence,0.0001949708521714098,0.0261550929293468,0.0001949708521714098,1,1.0,Conforming,0.8
pol_rat_us,3.650595786531063e-05,0.05075267272439548,3.650595786531063e-05,1,1.0,Conforming,0.8
