Country,Tenor,Model_Type,Status,Train_RMSE,Train_R2,Test_RMSE,Test_R2,Is_Best_Model,Error
South Korea,yld_2yr,mlp,Success - Advanced MLP Training,,,,,True,
South Korea,yld_2yr,gbm,Success - Advanced GBM Training,,,,,False,
South Korea,yld_2yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
South Korea,yld_5yr,mlp,Success - Advanced MLP Training,,,,,True,
South Korea,yld_5yr,gbm,Success - Advanced GBM Training,,,,,False,
South Korea,yld_5yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
South Korea,yld_10yr,mlp,Success - Advanced MLP Training,,,,,True,
South Korea,yld_10yr,gbm,Success - Advanced GBM Training,,,,,False,
South Korea,yld_10yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
South Korea,yld_30yr,mlp,Success - Advanced MLP Training,,,,,True,
South Korea,yld_30yr,gbm,Success - Advanced GBM Training,,,,,False,
South Korea,yld_30yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
