feature,mean_impact,std_impact,abs_impact
u_rat_au,29.81823187258118,15.938515363797363,29.81823187258118
pol_rat_au,-28.62362207079536,15.299969565345297,28.62362207079536
pol_rat_us,-2.7823278049481512,1.4872167691158251,2.7823278049481512
gdp_forecast_30yr_au,-4.440892098500626e-18,0.0,4.440892098500626e-18
cpi_forecast_30yr_au,-4.440892098500626e-18,0.0,4.440892098500626e-18
cpi_inf_au,-4.440892098500626e-18,0.0,4.440892098500626e-18
act_track_au,-4.440892098500626e-18,0.0,4.440892098500626e-18
rating_au,-4.440892098500626e-18,0.0,4.440892098500626e-18
