rate_br,rate_cl,rate_mx,rate_cz,rate_po,rate_ch,rate_in,rate_sk,rate_co,rate_hu,rate_tu,rate_is,rate_sa,rate_ma,rate_ph,rate_th,rate_tw,rate_pe,rate_id
351.91,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
351.53,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
351.53,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
351.15,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
351.15,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
351.15,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
351.15,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
351.15,,,,,6.0,10.0,,,17.0,42.41,,18.0,,36.0,,,,13.13
350.78,,,,,6.0,10.0,,,17.0,42.41,,18.0,,39.0,,,,13.13
350.78,,,,,6.0,10.0,,,17.0,42.41,,18.0,,28.63,,,,13.13
350.4,,,,,6.0,10.0,,,17.0,42.41,,18.0,,20.13,,,,13.13
351.15,,,,,6.0,10.0,,,17.0,42.41,,18.0,,7.56,,,,13.13
351.15,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
351.15,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
116.5,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
116.68,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
116.5,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
116.5,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
116.32,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
116.32,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
116.32,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
116.5,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
116.32,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
116.32,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
116.32,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
116.32,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
116.32,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
116.32,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
47.24,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
47.12,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
46.63,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
45.52,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
44.67,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
44.67,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
44.67,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
44.19,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
44.43,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
44.67,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
45.04,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
47.0,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
47.0,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
47.0,,,,,6.0,10.0,,,17.0,42.58,,18.0,,7.56,,,,13.13
64.75,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
64.75,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
79.46,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
79.46,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
79.31,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
79.31,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
79.31,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
79.61,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
