feature,mean_impact,std_impact,abs_impact,expected_direction,actual_direction,conformity,confidence
act_track_it,0.9844299318356787,3.540320762902513,0.9844299318356787,1,1.0,Conforming,0.7
u_rat_it,0.02135845215891925,0.21875650618521392,0.02135845215891925,-1,1.0,Non-Conforming,0.7
rating_it,0.003392017436301958,0.4056518165037767,0.003392017436301958,-1,1.0,Non-Conforming,0.8
gdp_forecast_30yr_it,0.0004532184960047777,0.0659521843953266,0.0004532184960047777,1,1.0,Conforming,0.7
pol_rat_it,0.00025812427153929727,0.03862197450881984,0.00025812427153929727,1,1.0,Conforming,0.8
pol_rat_us,0.00024937109993279004,0.07006740570766198,0.00024937109993279004,1,1.0,Conforming,0.8
cpi_inf_it,3.624133724166005e-05,0.02611121077478767,3.624133724166005e-05,1,1.0,Conforming,0.9
cpi_forecast_30yr_it,3.409069565368942e-05,0.006320084984178982,3.409069565368942e-05,1,1.0,Conforming,0.9
