feature,mean_impact,std_impact,abs_impact
pol_rat_fr,-0.4424436963579314,5.551115123125783e-17,0.4424436963579314
cpi_inf_fr,0.27755098831553604,0.0044082953212110565,0.27755098831553604
gdp_forecast_2yr_fr,0.07638746938764555,0.00038116064711454686,0.07638746938764555
cpi_forecast_2yr_fr,-0.041486598405865695,0.002561489900272789,0.041486598405865695
pol_rat_us,-0.03556207301351821,0.0,0.03556207301351821
act_track_fr,-0.004363700752524767,7.876012988770553e-05,0.004363700752524767
u_rat_fr,0.0,0.0,0.0
