feature,mean_impact,std_impact,abs_impact,expected_direction,actual_direction,conformity,confidence
act_track_us,-0.0912717473106279,2.098416078888573,0.0912717473106279,1,-1.0,Non-Conforming,0.7
u_rat_us,-0.0015794982004583436,0.32077139524217546,0.0015794982004583436,-1,-1.0,Conforming,0.7
rating_us,-9.646472091763295e-05,4.511585189221814,9.646472091763295e-05,-1,-1.0,Conforming,0.8
gdp_forecast_10yr_us,-4.05158483784002e-05,0.32982692709063105,4.05158483784002e-05,1,-1.0,Non-Conforming,0.7
cpi_inf_us,-1.3841330163967787e-05,0.011354207430204547,1.3841330163967787e-05,1,-1.0,Non-Conforming,0.9
cpi_forecast_10yr_us,-4.932687190624563e-06,0.0028038093239385283,4.932687190624563e-06,1,-1.0,Non-Conforming,0.9
pol_rat_us,-1.4725851026516542e-07,0.012267445971764027,1.4725851026516542e-07,1,-1.0,Non-Conforming,0.8
