feature,mean_impact,std_impact,abs_impact
u_rat_ca,1.0647611373397083,0.6575929592991737,1.0647611373397083
rating_ca,0.768279731464407,0.45527128422645513,0.768279731464407
pol_rat_ca,0.3096234229019527,0.17939109203311202,0.3096234229019527
pol_rat_us,0.12643908589389796,0.07463023882348223,0.12643908589389796
act_track_ca,0.10113378163296483,0.062121536880018924,0.10113378163296483
cpi_inf_ca,0.08202972055424194,0.04959529002575816,0.08202972055424194
gdp_forecast_30yr_ca,0.0819122577497761,0.046070287899654935,0.0819122577497761
cpi_forecast_30yr_ca,0.07760440533231378,0.046543767457988564,0.07760440533231378
