date,actual,predicted,residual,country,tenor,model_type
1990-12-31,9.999941176470587,9.334410277188335,0.6655308992822526,France,yld_30yr,mlp
1991-01-31,9.836739130434783,9.63645845443041,0.20028067600437183,France,yld_30yr,mlp
1991-02-28,9.1908,9.51654516442189,-0.3257451644218907,France,yld_30yr,mlp
1991-03-31,9.165857142857144,9.302310741860213,-0.13645359900306886,France,yld_30yr,mlp
1991-04-30,9.00659090909091,8.800597729462895,0.205993179628015,France,yld_30yr,mlp
1991-05-31,9.005739130434783,8.959271610335916,0.0464675200988669,France,yld_30yr,mlp
1991-06-30,9.24795,9.448509599014594,-0.20055959901459453,France,yld_30yr,mlp
1991-07-31,9.291434782608695,9.688791437084086,-0.3973566544753915,France,yld_30yr,mlp
1991-08-31,9.200636363636363,8.92257988411418,0.27805647952218315,France,yld_30yr,mlp
1991-09-30,8.98242857142857,7.740576856519185,1.2418517149093855,France,yld_30yr,mlp
1991-10-31,8.864565217391304,8.001499191867298,0.8630660255240059,France,yld_30yr,mlp
1991-11-30,8.893,8.963500975274549,-0.07050097527454824,France,yld_30yr,mlp
1991-12-31,8.762818181818183,8.76527302015291,-0.0024548383347262615,France,yld_30yr,mlp
1992-01-31,8.455826086956522,8.014208731115398,0.4416173558411245,France,yld_30yr,mlp
1992-02-29,8.4982,8.312080365456401,0.1861196345435996,France,yld_30yr,mlp
1992-03-31,8.610272727272728,8.637194683547188,-0.026921956274460257,France,yld_30yr,mlp
1992-04-30,8.706909090909091,8.444759555480138,0.2621495354289536,France,yld_30yr,mlp
1992-05-31,8.613714285714286,8.440371532577666,0.17334275313661962,France,yld_30yr,mlp
1992-06-30,8.746772727272727,7.9998359200134175,0.7469368072593099,France,yld_30yr,mlp
1992-07-31,8.874608695652173,7.471045171745109,1.4035635239070636,France,yld_30yr,mlp
1992-08-31,9.010809523809524,7.101760746562528,1.909048777246996,France,yld_30yr,mlp
1992-09-30,8.739772727272728,7.462818193807109,1.2769545334656183,France,yld_30yr,mlp
1992-10-31,8.615363636363638,6.99745452235178,1.6179091140118578,France,yld_30yr,mlp
1992-11-30,8.488476190476192,6.139897946117841,2.3485782443583503,France,yld_30yr,mlp
1992-12-31,8.601173913043478,6.94978174682052,1.6513921662229585,France,yld_30yr,mlp
1993-01-31,8.292238095238096,7.344407055770159,0.9478310394679372,France,yld_30yr,mlp
1993-02-28,8.09135,7.203912087330854,0.8874379126691458,France,yld_30yr,mlp
1993-03-31,7.69095652173913,7.467822692765828,0.22313382897330225,France,yld_30yr,mlp
1993-04-30,7.572454545454545,7.307355978640788,0.2650985668137569,France,yld_30yr,mlp
1993-05-31,7.69852380952381,6.966689035208967,0.7318347743148435,France,yld_30yr,mlp
1993-06-30,7.560090909090909,6.833447184239722,0.7266437248511872,France,yld_30yr,mlp
1993-07-31,7.463181818181818,7.0867048750444415,0.37647694313737645,France,yld_30yr,mlp
1993-08-31,6.996272727272728,7.189981077839295,-0.19370835056656777,France,yld_30yr,mlp
